region_schema,region_parent,region_child,agerange,2020-06-28,2020-06-30,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30
tr_nuts1,tr,tr1,,2687,2687,2711,2735,2755,2773,2791,2811,2830,2843,2865
tr_nuts1,tr,tr2,,152,152,153,156,157,159,160,160,162,162,164
tr_nuts1,tr,tr3,,490,490,508,520,527,539,547,553,562,576,591
tr_nuts1,tr,tr4,,534,534,545,553,560,572,582,590,598,613,623
tr_nuts1,tr,tr5,,336,336,358,379,408,430,453,471,490,531,576
tr_nuts1,tr,tr6,,124,124,127,133,136,142,150,156,159,163,170
tr_nuts1,tr,tr7,,84,84,86,86,88,89,92,93,95,98,107
tr_nuts1,tr,tr8,,182,182,185,186,188,191,193,193,196,197,206
tr_nuts1,tr,tr9,,89,89,90,90,96,97,100,101,102,105,110
tr_nuts1,tr,tra,,63,63,64,66,66,68,69,70,75,75,77
tr_nuts1,tr,trb,,53,53,54,56,61,68,74,81,86,90,97
tr_nuts1,tr,trc,,303,303,344,403,449,485,517,565,619,668,740
