region_schema,region_parent,region_child,agerange,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30
cz_okres,cz,cz0100,,0,0,0,0,8,4,0,5,12,5,13,7,14,39,21,19,32,79,32,62,26,38,58,82,68,109,52,32,37,61,78,82,60,22,37,35,39,48,47,27,20,17,9,13,36,29,22,22,13,42,10,13,9,7,15,7,-2,9,10,21,19,-5,2,6,18,14,7,21,12,2,14,4,28,9,12,15,15,23,10,14,6,25,-3,4,2,10,8,7,9,8,7,18,8,31,8,12,-5,13,6,13,7,14,22,18,7,13,19,8,27,21,-1,8,14,19,14,20,5,10,14,3,9,2,15,18,-6,9,8,7,10,15,15,7,13,12,7,14,27,4,22,24,25,63,55,49,86,34,35,46,59,67,47,54,30,26,41,75,40,53,70,45,32,48,78,81,97,64,51,44,45,67,74,51,127,86,32,42,75,109,86,129,61,123
cz_okres,cz,cz0201,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,2,4,0,1,0,1,2,5,0,1,5,3,1,4,3,0,4,4,8,4,2,5,2,1,1,0,1,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,3,0,0,1,3,0,0,2,2,0,1,1,1,4,1,2,2,2,3,3,4,0,0,0,1,5,5,0,2,0,0,1,3,1,4,0,1,2
cz_okres,cz,cz0202,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,1,4,1,0,1,6,3,0,0,0,2,2,0,3,1,0,5,0,3,3,2,0,1,1,0,3,6,2,0,0,0,3,0,0,3,4,0,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,3,2,2,8,0,1,3,1,2,4,2,1,1,2,2,0,2,1,2,1,1,2,4,3,2,0,0,1,1,2,1,1,4,1,1,4,5,3,8,2,14
cz_okres,cz,cz0203,,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,2,3,3,4,1,5,0,0,2,4,11,4,2,1,1,6,4,3,2,1,5,3,6,3,4,1,2,1,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,5,2,1,0,2,0,7,9,3,1,1,0,3,2,1,4,5,5,2,2,4,5,5,7,3,7,6,5,1,4,8,3,2,1,3,5,6,6,11,4
cz_okres,cz,cz0204,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,1,1,2,2,3,4,0,-1,0,2,0,7,7,4,1,-1,0,1,1,3,1,3,-1,1,0,1,-1,0,2,0,2,-1,1,0,3,0,2,0,-1,1,1,1,-1,2,-1,2,0,-2,1,2,-1,-1,2,-2,5,-1,0,2,0,2,-2,2,3,-1,0,0,0,1,-1,1,0,0,-1,1,-2,0,2,-1,1,0,-2,2,-2,2,-2,0,0,0,1,1,0,1,-2,3,-1,0,4,0,2,-2,0,1,2,5,-1,6,1,-1,3,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,3,0,2,2,1,2,2,1,2,3,7,6,9,3,0,0,3,1,0,2,0,2,1,6,9,1,21,4,3,0,6,8,4,9,5,1
cz_okres,cz,cz0205,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,0,2,3,2,0,1,0,0,0,2,1,3,3,-1,1,4,1,-1,2,0,0,-1,1,0,-1,1,0,0,-1,1,0,0,-1,0,1,-1,0,1,-1,0,1,-1,0,0,3,0,0,0,0,-1,1,-1,1,0,-1,0,1,-1,2,0,-1,1,0,-1,1,-1,1,-1,1,0,1,0,-1,1,-1,1,0,-1,1,-1,1,0,0,-1,1,0,-1,2,4,11,3,-1,7,7,9,4,1,0,1,2,1,1,2,0,1,0,-1,2,0,0,-1,1,-1,0,1,-1,0,0,1,1,-1,8,0,5,1,-1,1,5,1,1,0,0,1,0,2,2,1,4,0,0,3,1,1,1,0,0,2
cz_okres,cz,cz0206,,0,0,0,0,0,0,1,0,0,5,0,0,2,2,0,1,3,4,2,1,0,0,1,0,2,4,2,0,2,3,1,0,3,8,2,2,1,2,3,0,2,0,0,2,0,2,0,2,2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,2,3,13,9,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,15,1,0,5,1,2,2,3,3,5,2,1,2,2,0,6,0,3,2,0,1,2,1,3,3,1,3,2,5,2,0,0,1,2,3,3,1,5,2,1,0,1,1,2,14,3,18
cz_okres,cz,cz0207,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,2,2,1,3,0,2,2,6,-1,1,3,1,4,4,0,0,0,0,1,-1,1,1,0,0,1,1,0,0,0,-1,1,0,1,-1,3,0,2,-1,1,0,0,1,3,0,0,1,0,0,3,-1,2,-1,0,0,0,1,0,0,-1,0,1,-1,0,0,1,0,-1,1,0,0,-1,1,-1,1,-1,0,0,1,1,-1,1,-1,0,0,1,-1,1,-1,0,0,2,-1,0,0,1,0,0,-1,1,0,0,0,-1,1,-1,4,0,0,-1,0,1,0,-1,0,2,0,0,0,0,1,1,0,2,0,1,8,1,4,6,1,2,2,0,3,1,7,3,1,1,3,3,3,4,2,1,1,6,0,7,9,6,0,1,2,3,3,5,0,1
cz_okres,cz,cz0208,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,4,1,0,0,4,0,1,4,4,0,5,1,3,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,2,1,0,1,0,2,0,0,1,0,2,0,1,1,0,2,3,3,1,1,3,5,4,11,6,2,3,3,2,0,0,0,2,3,4,0,2,4,3,3,2,0,0,0,1,2,4,5,1,6,1,2,8,1,4,2,2
cz_okres,cz,cz0209,,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,5,1,3,6,3,1,3,6,7,8,19,8,2,1,7,3,3,9,6,1,4,2,5,3,7,4,0,0,2,7,3,1,6,1,4,6,0,0,0,0,0,0,0,2,1,1,1,0,3,1,1,1,0,0,0,2,0,0,1,2,1,1,2,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,4,4,3,4,3,1,3,1,1,0,0,0,0,4,5,0,4,0,1,4,1,2,2,6,2,2,1,0,0,4,1,2,1,0,1,3,2,1,3,6,5,6,10,8,6,5,2,8,6,13,2,2,4,1,5,2,5,4,11,6,7,2,3,8,8,1,3,4,3,8,2,5,3,7,2,2,7,10,9,16,10,9
