region_schema,region_parent,region_child,agerange,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20
admin_1,lv,lv-001,,71,73,74,74,76,79,81,81,81,101,105,109,115,43,117,120,123,127,132
admin_1,lv,lv-004,,85,93,99,99,105,111,111,112,122,126,134,135,139,141,142,143,143,145,145
admin_1,lv,lv-005,,,,27,27,,,,,,,,,,,,,,,
admin_1,lv,lv-010,,36,40,40,40,42,44,44,44,,,,,,,,,,,
admin_1,lv,lv-011,,,,,,,,,,,,,,,,,,,,171
admin_1,lv,lv-013,,65,67,71,71,73,78,,,,87,90,92,,,,,,102,
admin_1,lv,lv-024,,,,,,,,,,,,,,,,,,,57,61
admin_1,lv,lv-031,,120,120,122,122,127,,,,,,,,,,164,,,,
admin_1,lv,lv-034,,,,,,,80,83,95,106,111,114,115,117,118,121,126,132,138,141
admin_1,lv,lv-035,,74,74,,,,,,,,,,,,,,,,,
admin_1,lv,lv-036,,,,,,,,,,,,,,,,,,51,,53
admin_1,lv,lv-047,,340,340,,,358,,,,,,,,,,,,,,
admin_1,lv,lv-049,,,,53,53,91,215,217,220,233,237,238,242,244,244,244,248,249,255,257
admin_1,lv,lv-052,,285,296,320,320,343,369,372,383,398,408,416,428,436,438,446,460,470,479,
admin_1,lv,lv-054,,130,130,,,,,,,,,,,,,,,,,
admin_1,lv,lv-061,,21,21,21,21,21,,,,,,,,,,,,,,
admin_1,lv,lv-062,,254,266,289,289,307,337,337,341,347,357,371,379,386,390,398,407,415,,
admin_1,lv,lv-065,,,,,,,,,,,27,35,35,37,38,39,42,48,52,54
admin_1,lv,lv-068,,194,198,206,206,,,,,,,,,,,,,,,
admin_1,lv,lv-069,,,,,,,98,99,102,106,126,146,156,169,171,175,177,182,186,192
admin_1,lv,lv-076,,,,,,,,,,29,,,,,,,35,,,
admin_1,lv,lv-079,,,,,,,,,,,,,,41,41,41,,,,
admin_1,lv,lv-081,,,,,,,,,,,,,,,,,17,18,18,18
admin_1,lv,lv-085,,,,,,,,,,,,,,,,,,,39,42
admin_1,lv,lv-086,,129,136,144,144,146,157,157,157,159,162,167,168,169,169,174,183,187,,196
admin_1,lv,lv-087,,246,253,263,263,275,313,315,317,322,,,,,,,,,,
admin_1,lv,lv-095,,,,,,,,171,171,175,178,182,190,191,195,,208,216,226,232
admin_1,lv,lv-110,,,,,,,,,,,,14,15,15,15,16,17,17,,
admin_1,lv,lv-dgv,,1779,1809,1885,1885,2022,2330,2379,2422,2500,2591,2678,2776,2905,2917,2973,3187,3292,3401,3495
admin_1,lv,lv-jel,,355,487,509,509,521,576,586,625,655,685,707,727,746,755,787,855,896,920,937
admin_1,lv,lv-jkb,,,,,,260,323,329,333,346,372,387,397,410,410,419,431,462,484,502
admin_1,lv,lv-jur,,450,465,487,487,500,,,,,,,,,,,,,,
admin_1,lv,lv-rez,,,,253,253,279,300,303,312,325,342,353,359,389,389,404,428,455,487,526
admin_1,lv,lv-rix,,7724,7959,8217,8217,8613,9237,9315,9608,9874,10153,10419,10687,10865,10992,11225,,,12252,
admin_1,lv,lv-ven,,,,,,,,,,,,,,,,,272,294,297,307
