date,region_schema,region_parent,region_child,agerange,value
2020-01-02,admin_1,id,id-ac,,8
2020-01-02,admin_1,id,id-ba,,165
2020-01-02,admin_1,id,id-bb,,60
2020-01-02,admin_1,id,id-be,,19
2020-01-02,admin_1,id,id-bt,,246
2020-01-02,admin_1,id,id-go,,0
2020-01-02,admin_1,id,id-ja,,33
2020-01-02,admin_1,id,id-jb,,1167
2020-01-02,admin_1,id,id-ji,,723
2020-01-02,admin_1,id,id-jk,,1894
2020-01-02,admin_1,id,id-jt,,971
2020-01-02,admin_1,id,id-kb,,0
2020-01-02,admin_1,id,id-ki,,213
2020-01-02,admin_1,id,id-kr,,19
2020-01-02,admin_1,id,id-ks,,17
2020-01-02,admin_1,id,id-kt,,59
2020-01-02,admin_1,id,id-la,,115
2020-01-02,admin_1,id,id-ma,,18
2020-01-02,admin_1,id,id-mu,,9
2020-01-02,admin_1,id,id-nb,,59
2020-01-02,admin_1,id,id-nt,,35
2020-01-02,admin_1,id,id-pa,,23
2020-01-02,admin_1,id,id-pb,,17
2020-01-02,admin_1,id,id-ri,,68
2020-01-02,admin_1,id,id-sa,,60
2020-01-02,admin_1,id,id-sb,,38
2020-01-02,admin_1,id,id-sg,,33
2020-01-02,admin_1,id,id-sr,,30233
2020-01-02,admin_1,id,id-ss,,45
2020-01-02,admin_1,id,id-st,,66
2020-01-02,admin_1,id,id-su,,86
2020-01-02,admin_1,id,id-yo,,291
2020-01-02,admin_1,id,unknown,,0
2020-01-03,admin_1,id,id-ac,,2
2020-01-03,admin_1,id,id-ba,,119
2020-01-03,admin_1,id,id-bb,,60
2020-01-03,admin_1,id,id-be,,45
2020-01-03,admin_1,id,id-bt,,136
2020-01-03,admin_1,id,id-go,,1
2020-01-03,admin_1,id,id-ja,,26
2020-01-03,admin_1,id,id-jb,,1232
2020-01-03,admin_1,id,id-ji,,599
2020-01-03,admin_1,id,id-jk,,1658
2020-01-03,admin_1,id,id-jt,,928
2020-01-03,admin_1,id,id-kb,,24
2020-01-03,admin_1,id,id-ki,,305
2020-01-03,admin_1,id,id-kr,,13
2020-01-03,admin_1,id,id-ks,,71
2020-01-03,admin_1,id,id-kt,,64
2020-01-03,admin_1,id,id-la,,81
2020-01-03,admin_1,id,id-ma,,9
2020-01-03,admin_1,id,id-mu,,5
2020-01-03,admin_1,id,id-nb,,21
2020-01-03,admin_1,id,id-nt,,19
2020-01-03,admin_1,id,id-pa,,27
2020-01-03,admin_1,id,id-pb,,15
2020-01-03,admin_1,id,id-ri,,81
2020-01-03,admin_1,id,id-sa,,81
2020-01-03,admin_1,id,id-sb,,61
2020-01-03,admin_1,id,id-sg,,34
2020-01-03,admin_1,id,id-sr,,-30203
2020-01-03,admin_1,id,id-ss,,53
2020-01-03,admin_1,id,id-st,,67
2020-01-03,admin_1,id,id-su,,89
2020-01-03,admin_1,id,id-yo,,218
2020-01-03,admin_1,id,unknown,,0
2020-01-04,admin_1,id,id-ac,,5
2020-01-04,admin_1,id,id-ba,,118
2020-01-04,admin_1,id,id-bb,,50
2020-01-04,admin_1,id,id-be,,24
2020-01-04,admin_1,id,id-bt,,158
2020-01-04,admin_1,id,id-go,,13
2020-01-04,admin_1,id,id-ja,,14
2020-01-04,admin_1,id,id-jb,,1079
2020-01-04,admin_1,id,id-ji,,709
2020-01-04,admin_1,id,id-jk,,1832
2020-01-04,admin_1,id,id-jt,,1037
2020-01-04,admin_1,id,id-kb,,0
2020-01-04,admin_1,id,id-ki,,185
2020-01-04,admin_1,id,id-kr,,63
2020-01-04,admin_1,id,id-ks,,20
2020-01-04,admin_1,id,id-kt,,24
2020-01-04,admin_1,id,id-la,,62
2020-01-04,admin_1,id,id-ma,,6
2020-01-04,admin_1,id,id-mu,,9
2020-01-04,admin_1,id,id-nb,,43
2020-01-04,admin_1,id,id-nt,,4
2020-01-04,admin_1,id,id-pa,,36
2020-01-04,admin_1,id,id-pb,,11
2020-01-04,admin_1,id,id-ri,,110
2020-01-04,admin_1,id,id-sa,,58
2020-01-04,admin_1,id,id-sb,,24
2020-01-04,admin_1,id,id-sg,,17
2020-01-04,admin_1,id,id-sr,,31308
2020-01-04,admin_1,id,id-ss,,54
2020-01-04,admin_1,id,id-st,,52
2020-01-04,admin_1,id,id-su,,92
2020-01-04,admin_1,id,id-yo,,146
2020-01-04,admin_1,id,unknown,,0
2020-01-05,admin_1,id,id-ac,,8
2020-01-05,admin_1,id,id-ba,,167
2020-01-05,admin_1,id,id-bb,,51
2020-01-05,admin_1,id,id-be,,20
2020-01-05,admin_1,id,id-bt,,164
2020-01-05,admin_1,id,id-go,,8
2020-01-05,admin_1,id,id-ja,,20
2020-01-05,admin_1,id,id-jb,,1100
2020-01-05,admin_1,id,id-ji,,727
2020-01-05,admin_1,id,id-jk,,1824
2020-01-05,admin_1,id,id-jt,,996
2020-01-05,admin_1,id,id-kb,,29
2020-01-05,admin_1,id,id-ki,,281
2020-01-05,admin_1,id,id-kr,,30
2020-01-05,admin_1,id,id-ks,,81
2020-01-05,admin_1,id,id-kt,,60
2020-01-05,admin_1,id,id-la,,82
2020-01-05,admin_1,id,id-ma,,35
2020-01-05,admin_1,id,id-mu,,22
2020-01-05,admin_1,id,id-nb,,13
2020-01-05,admin_1,id,id-nt,,57
2020-01-05,admin_1,id,id-pa,,67
2020-01-05,admin_1,id,id-pb,,31
2020-01-05,admin_1,id,id-ri,,160
2020-01-05,admin_1,id,id-sa,,35
2020-01-05,admin_1,id,id-sb,,72
2020-01-05,admin_1,id,id-sg,,30
2020-01-05,admin_1,id,id-sr,,639
2020-01-05,admin_1,id,id-ss,,66
2020-01-05,admin_1,id,id-st,,94
2020-01-05,admin_1,id,id-su,,86
2020-01-05,admin_1,id,id-yo,,297
2020-01-05,admin_1,id,unknown,,0
2020-01-06,admin_1,id,id-ac,,29
2020-01-06,admin_1,id,id-ba,,191
2020-01-06,admin_1,id,id-bb,,78
2020-01-06,admin_1,id,id-be,,42
2020-01-06,admin_1,id,id-bt,,188
2020-01-06,admin_1,id,id-go,,0
2020-01-06,admin_1,id,id-ja,,41
2020-01-06,admin_1,id,id-jb,,1470
2020-01-06,admin_1,id,id-ji,,845
2020-01-06,admin_1,id,id-jk,,2402
2020-01-06,admin_1,id,id-jt,,1023
2020-01-06,admin_1,id,id-kb,,24
