region_schema,region_parent,region_child,agerange,2020-05-12,2020-05-13
admin_1,iq,anbar,,0,0
admin_1,iq,babylon,,0,0
admin_1,iq,baghdad-karkh,,24,28
admin_1,iq,baghdad-resafa and midical city,,-6,38
admin_1,iq,basrah,,-25,6
admin_1,iq,diwaniya,,0,0
admin_1,iq,iq-ar,,-1,-3
admin_1,iq,iq-da,,0,0
admin_1,iq,iq-di,,5,1
admin_1,iq,iq-ki,,-9,-2
admin_1,iq,iq-na,,-4,2
admin_1,iq,iq-su,,0,0
admin_1,iq,kerbala,,1,-7
admin_1,iq,missan,,0,-9
admin_1,iq,muthanna,,0,-1
admin_1,iq,ninewa,,2,0
admin_1,iq,salah al-din,,-2,0
admin_1,iq,thi-qar,,-4,0
admin_1,iq,wassit,,-1,0
