region_schema,region_parent,region_child,agerange,2020-05-11,2020-05-12,2020-05-13,2020-05-31,2020-06-02,2020-06-04,2020-06-07,2020-06-14,2020-08-20,2020-08-23
admin_1,iq,anbar,,5,5,5,6,6,12,41,150,2566,2796
admin_1,iq,babylon,,47,47,47,127,131,191,360,569,9452,9718
admin_1,iq,baghdad-karkh,,256,282,316,1235,1282,1617,2164,3602,25656,26489
admin_1,iq,baghdad-resafa and midical city,,753,798,846,2290,2415,3231,4482,6315,,
admin_1,iq,baghdad-rusafa and medical city,,,,,,,,,,31182,33008
admin_1,iq,basrah,,583,601,633,827,849,943,1309,1624,17855,19103
admin_1,iq,diwaniya,,12,12,12,33,41,54,135,373,6932,7405
admin_1,iq,iq-ar,,212,212,212,281,281,292,372,619,9509,10136
admin_1,iq,iq-da,,19,19,19,31,33,91,100,133,2368,2932
admin_1,iq,iq-di,,20,25,26,70,74,97,108,328,5710,6139
admin_1,iq,iq-ki,,70,70,70,86,86,132,176,378,7884,8314
admin_1,iq,iq-na,,307,6,307,346,352,410,506,971,9928,10712
admin_1,iq,iq-su,,160,160,160,294,396,,750,1349,11327,11726
admin_1,iq,kerbala,,109,110,110,233,244,336,429,677,12131,12992
admin_1,iq,missan,,43,43,43,104,142,253,320,767,7579,7941
admin_1,iq,muthanna,,98,98,100,155,168,213,253,288,4737,5134
admin_1,iq,ninewa,,6,8,8,45,51,,56,84,4246,4562
admin_1,iq,salah al-din,,9,9,9,22,22,,55,135,4226,4384
admin_1,iq,thi-qar,,72,72,72,136,136,,375,790,8971,9714
admin_1,iq,wassit,,37,37,37,118,159,,375,1057,10538,11136
