region_schema,region_parent,region_child,agerange,2020-04-29,2020-05-05,2020-05-07,2020-05-08,2020-07-17,2020-07-29,2020-07-30,2020-08-03,2020-12-02,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03
admin_1,au-nsw,au-nsw,,1,2,2,1,1,2,2,3,1,3,18,1,2,4,3,5,7,8,9,9,11,10,11,13,13,10
lga,au,blacktown,,,,,,,,,,,,,,,,1,,,,,,,,,,,
lga,au,burwood,,,,,,,,,,,,,,,,,,,,,1,,,,,,
lga,au,camden,,,,,,1,,,,,,,,,,,,,,,,,,,,,
lga,au,campbelltown,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
lga,au,canada bay,,,1,,,,,,,,,,,,,,,,,,,,,,,,
lga,au,canterbury-bankstown,,,1,1,,,,1,,,1,,,,,,,,,,,,,,1,,
lga,au,central coast,,,,1,,,,,,,,,,,,,,,,,,,,,,,
lga,au,cumberland,,,,,,,,,,,,,,,,,,,,,,,1,3,,3,2
lga,au,fairfield,,,,,,,,,2,,,,,,,,,,,,,,,,,,
lga,au,lane cove,,,,,,,,,,,,,,,,,1,,,,,,,,,,
lga,au,liverpool,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
lga,au,northern beaches,,,,,,,,,,,2,17,1,2,4,,3,,,5,,,,,,,
lga,au,ryde,,,,,,,,,,,,,,,,,,,,,,1,,,,,
lga,au,strathfield,,,,,,,,,,,,,,,,,,,,,,1,,,,,
lga,au,sutherland shire,,,,,,,,1,,,,,,,,,,,,,,,,,,,
lga,au,unknown,,,,,1,,,,,,,,,,,,,,,,,,,,,,
lga,au,waverley,,,,,,,,,,,,,,,,,,,1,,,,,,,,
lga,au,wollongong,,,,,,,,,,,,,,,,,,,,,,1,,,,,
lga,au,woollahra,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,
lga,au-nsw,unknown,,,,,,,,,,1,,,,,,,,,,,,,,,,,
lhd,au,central coast,,,,1,,,,,,,,,,,,,,,,,,,,,,,
lhd,au,illawarra shoalhaven,,,,,,,,,,,,,,,,,,,,,,1,,,,,
lhd,au,northern sydney,,,,,,,,,,,2,17,1,2,4,,4,,,6,,6,,,,,
lhd,au,south eastern sydney,,1,,,,,1,1,,,,,,,,,,1,2,,,,,,,,
lhd,au,south western sydney,,,,1,,1,1,,3,1,,,,,,,,,,,,,,,1,,
lhd,au,sydney,,,2,,,,,1,,,1,,,,,,,,,,1,1,,,2,,
lhd,au,unknown,,,,,1,,,,,,,,,,,,,,,,,,,,,,
lhd,au,western sydney,,,,,,,,,,,,,,,,1,,,,,,,1,3,,3,2
postcode,au,2023,,1,,,,,,,,,,,,,,,,,,,,,,,,,
postcode,au,2026,,,,,,,,,,,,,,,,,,,1,,,,,,,,
postcode,au,2027,,,,,,,,,,,,,,,,,,1,,,,,,,,,
postcode,au,2029.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,
postcode,au,2066,,,,,,,,,,,,,,,,,1,,,,,,,,,,
postcode,au,2085,,,,,,,,,,,,,,,,,1,,,,,,,,,,
postcode,au,2086,,,,,,,,,,,,1,,,,,,,,,,,,,,,
postcode,au,2103,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
postcode,au,2104,,,,,,,,,,,,1,,,,,,,,,,,,,,,
postcode,au,2106,,,,,,,,,,,,3,,,,,,,,,,,,,,,
postcode,au,2107,,,,,,,,,,,2,9,1,2,3,,,,,,,,,,,,
postcode,au,2108,,,,,,,,,,,,2,,,1,,,,,,,,,,,,
postcode,au,2122,,,,,,,,,,,,,,,,,,,,,,1,,,,,
postcode,au,2132,,,,,,,,,,,,,,,,,,,,,1,,,,,,
postcode,au,2135,,,,,,,,,,,,,,,,,,,,,,1,,,,,
postcode,au,2137,,,1,,,,,,,,,,,,,,,,,,,,,,,,
postcode,au,2141,,,,,,,,,,,,,,,,,,,,,,,,,,1,
postcode,au,2144,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
postcode,au,2145,,,,,,,,,,,,,,,,,,,,,,,,1,,,
postcode,au,2161,,,,,,,,,,,,,,,,,,,,,,,1,,,,
postcode,au,2170,,,,,,,,,1,,,,,,,,,,,,,,,,,,
postcode,au,2170.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,
postcode,au,2177,,,,,,,,,2,,,,,,,,,,,,,,,,,,
postcode,au,2192,,,,,,,,,,,,,,,,,,,,,,,,,1,,
postcode,au,2194.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,
postcode,au,2196,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
postcode,au,2198,,,,1,,,,,,,,,,,,,,,,,,,,,,,
postcode,au,2230.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,
postcode,au,2263,,,,1,,,,,,,,,,,,,,,,,,,,,,,
postcode,au,2500,,,,,,,,,,,,,,,,,,,,,,1,,,,,
postcode,au,2564,,,,,,,,,,,,,,,,,,,,,,,,,1,,
postcode,au,2567,,,,,,1,,,,,,,,,,,,,,,,,,,,,
postcode,au,2767,,,,,,,,,,,,,,,,1,,,,,,,,,,,
postcode,au,masked,,,,,,,,,,1,,,,,,,,,,,,,,,,,
postcode,au,unknown,,,,,1,,,,,,,,,,,,,,,,,,,,,,
