region_schema,region_parent,region_child,agerange,2020-04-25,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-06,2020-05-09,2020-05-10,2020-05-11,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-19,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25
admin_1,au,au-nsw,,,,,,690,688,688,685,578,535,501,492,464,441,421,419,416,416,401,385,386,383,384,362
lhd,,central coast,,23,24,24,,24,24,23,23,23,18,16,16,16,13,13,13,12,12,12,12,12,12,12,12
lhd,,far west,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lhd,,hunter new england,,56,60,59,56,53,46,46,43,44,46,48,49,46,43,42,41,39,38,38,32,32,32,32,32
lhd,,illawarra shoalhaven,,72,25,25,25,25,26,26,26,25,16,16,16,16,15,11,11,11,11,11,11,11,11,11,11
lhd,,mid north coast,,6,5,5,5,4,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
lhd,,murrumbidgee,,8,12,11,11,11,12,12,12,11,7,3,3,3,3,3,3,3,3,3,2,2,2,2,2
lhd,,nepean blue mountains,,33,82,81,82,82,86,87,87,87,79,78,78,78,78,78,78,78,78,77,76,74,70,70,70
lhd,,northern nsw,,10,11,11,11,11,11,11,11,10,6,6,6,6,5,6,6,6,6,6,4,4,4,4,4
lhd,,northern sydney,,180,177,180,157,157,158,159,159,150,124,120,116,116,104,98,97,97,97,98,90,89,89,89,89
lhd,,nsw total,,801,777,766,790,732,731,,,,,,,536,,468,466,463,463,,,436,433,,
lhd,,nsw total*,,,,,,,,,,,,,,,,,,,,,,,,434,434
lhd,,south eastern sydney,,80,73,65,59,52,48,49,47,40,28,28,27,24,25,25,24,26,26,26,24,24,23,23,22
lhd,,south western sydney,,78,75,75,77,72,71,71,71,71,62,62,63,63,53,50,47,45,45,46,38,39,39,39,39
lhd,,southern nsw,,6,5,5,22,22,22,21,21,21,8,6,6,6,7,7,7,7,7,6,5,5,5,5,5
lhd,,sydney,,93,90,91,93,94,94,94,95,88,63,57,56,56,50,48,47,46,46,46,44,46,47,47,49
lhd,,total,,,,,,,,731,729,686,,,,,,,,,,464,434,,,,
lhd,,total nsw,,,,,,,,,,624,2998,547,538,,,,,,,,,,,,
lhd,,total*,,,,,,,,,,,,,,457,437,,,,,,,,,,
lhd,,unassigned,,,76,74,72,,69,,,,,,,,,,,,,,,,,,
lhd,,western nsw,,14,14,14,14,14,14,14,14,14,12,12,11,11,9,9,9,8,8,8,8,8,8,8,8
lhd,,western sydney,,58,47,45,41,41,43,42,44,38,34,32,32,32,28,26,28,29,29,31,30,30,30,30,31
