region_schema,region_parent,region_child,agerange,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02
admin_1,kz,kz-akm,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,7,7,8,8,8,12,12,13,13,13,13,14,14,14,14,14,14,14,14,23,23,14,23,14,14,14,24,14,24,24,14,24,31,14,14,14,31,31,14,14,14,38,38,38,38,38,14,46,46,14,14,46,46,46,14,14,14,14,14,55,14,61,14,14,61,61,61,61,14,67,14,14,14,67,14,14
admin_1,kz,kz-akt,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,9,4,9,4,9,4,4,18,18,4,4,4,18,18,4,19,19,4,4,4,28,28,28,28,4,28,28,28,4,4,4,4,31,4,31,35,35,35,4,4,4,4,4,4,4,35,4,35,35,35
admin_1,kz,kz-ala,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,13,15,17,17,18,20,20,23,23,26,26,26,26,26,26,26,26,26,26,26,30,30,26,30,30,30,54,26,26,54,26,54,54,54,54,73,73,26,26,26,73,73,111,111,111,111,26,111,26,26,26,26,26,164,26,164,195,26,195,26,26,26,26,220,26,26,26,26,220,26,252,26,26,26,252,252,252,26
admin_1,kz,kz-alm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,4,4,1,1,1,1,23,1,1,1,1,1,4,4,14,14,1,14,1,14,1,1,26,1,26,26,26,26,1,1,34,34,1,34,34,1,1,1,1,41,41,41,43,1,43,1,1,43,43,1
admin_1,kz,kz-ast,,6,6,7,8,9,9,9,9,10,10,14,14,14,14,15,15,15,21,25,29,32,32,38,38,38,38,45,53,61,61,61,61,61,61,61,61,61,63,61,61,63,61,81,61,61,81,61,81,81,81,61,195,195,195,195,195,61,195,205,205,205,61,61,205,61,61,61,234,61,234,61,234,61,61,267,267,267,267,61,61,61,287,61,287,61,287,303,303,61,61,303,61,303,61
admin_1,kz,kz-aty,,,,,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,13,13,13,6,13,13,13,13,13,13,6,13,6,6,18,18,18,18,6,6,18,18,22,6,6,22,6,6,29,29,6,29,29,6,6,29,35,35,35,6,6,35,6,6,45,45,6,6,6,45,48,6,6,6,48,48,6,6
admin_1,kz,kz-kar,,3,3,3,4,5,5,5,6,6,6,7,7,7,7,7,7,9,9,10,10,10,10,10,10,10,10,10,10,13,14,14,14,14,14,14,14,38,14,38,38,38,14,75,14,14,75,14,75,14,75,14,14,14,14,14,81,14,14,137,14,137,14,14,14,14,186,186,186,186,186,14,14,14,14,14,241,241,14,241,14,14,254,254,254,254,254,259,14,14,259,259,14,14,264
admin_1,kz,kz-kus,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,3,3,6,11,3,11,3,3,11,3,3,3,11,3,11,3,3,3,11,3,11,3,3,11,11,12,3,3,12,12,3,3,3
admin_1,kz,kz-kzy,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,7,2,7,7,2,2,2,7,2,7,7,2,7,7,7,2,2,7,8,2,2,8,8,2,8,8,8,2,2,8,8,2,2,9,2,9,2,9,2,9,10,2,2,2,10,2,2,12
admin_1,kz,kz-man,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,8,8,8,8,3,3,12,12,3,12,3,12,3,3,3,23,23,3,23,23,3,31,31,31,3,3,3,3,38,3,3,38,38,3,38,39,39,3,39,39,3,3,39,39,3,39,3,39,3,40,3,3,40,3,3,40,40
admin_1,kz,kz-pav,,3,3,4,4,5,5,5,6,7,8,8,8,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,13,13,13,13,15,13,23,23,23,13,23,23,13,13,13,23,23,13,13,13,28,28,28,13,28,28,13,13,31,31,31,13,31,31,13,37,37,13,37,37,37,13,13,43,43,13,13,43,48
