date,region_schema,region_parent,region_child,agerange,value
2020-06-13,lga,au-qld,toowoomba,,6
2020-06-13,lga,au-qld,total,,179
2020-06-13,lga,au-qld,townsville,,0
2020-06-13,lga,au-qld,western downs,,0
2020-06-13,lga,au-qld,whitsunday,,1
2020-06-14,lga,au-qld,bundaberg,,2
2020-06-14,lga,au-qld,cairns,,7
2020-06-14,lga,au-qld,cassowary coast,,0
2020-06-14,lga,au-qld,central highlands,,0
2020-06-14,lga,au-qld,charters towers,,0
2020-06-14,lga,au-qld,douglas,,0
2020-06-14,lga,au-qld,fraser coast,,1
2020-06-14,lga,au-qld,gladstone,,1
2020-06-14,lga,au-qld,gold coast,,57
2020-06-14,lga,au-qld,gympie,,2
2020-06-14,lga,au-qld,hinchinbrook,,0
2020-06-14,lga,au-qld,ipswich,,4
2020-06-14,lga,au-qld,livingstone,,0
2020-06-14,lga,au-qld,lockyer valley,,0
2020-06-14,lga,au-qld,logan,,9
2020-06-14,lga,au-qld,mackay,,2
2020-06-14,lga,au-qld,mareeba,,0
2020-06-14,lga,au-qld,moreton bay,,9
2020-06-14,lga,au-qld,noosa,,3
2020-06-14,lga,au-qld,north burnett,,0
2020-06-14,lga,au-qld,redland,,2
2020-06-14,lga,au-qld,rockhampton,,1
2020-06-14,lga,au-qld,scenic rim,,0
2020-06-14,lga,au-qld,somerset,,1
2020-06-14,lga,au-qld,south burnett,,0
2020-06-14,lga,au-qld,southern downs,,1
2020-06-14,lga,au-qld,sunshine coast,,5
2020-06-14,lga,au-qld,tablelands,,0
2020-06-14,lga,au-qld,toowoomba,,6
2020-06-14,lga,au-qld,total,,180
2020-06-14,lga,au-qld,townsville,,0
2020-06-14,lga,au-qld,western downs,,0
2020-06-14,lga,au-qld,whitsunday,,1
2020-06-15,lga,au-qld,bundaberg,,2
2020-06-15,lga,au-qld,cairns,,7
2020-06-15,lga,au-qld,cassowary coast,,0
2020-06-15,lga,au-qld,central highlands,,0
2020-06-15,lga,au-qld,charters towers,,0
2020-06-15,lga,au-qld,douglas,,0
2020-06-15,lga,au-qld,fraser coast,,1
2020-06-15,lga,au-qld,gladstone,,1
2020-06-15,lga,au-qld,gold coast,,57
2020-06-15,lga,au-qld,gympie,,2
2020-06-15,lga,au-qld,hinchinbrook,,0
2020-06-15,lga,au-qld,ipswich,,4
2020-06-15,lga,au-qld,livingstone,,0
2020-06-15,lga,au-qld,lockyer valley,,0
2020-06-15,lga,au-qld,logan,,9
2020-06-15,lga,au-qld,mackay,,2
2020-06-15,lga,au-qld,mareeba,,0
2020-06-15,lga,au-qld,moreton bay,,9
2020-06-15,lga,au-qld,noosa,,3
2020-06-15,lga,au-qld,north burnett,,0
2020-06-15,lga,au-qld,redland,,2
2020-06-15,lga,au-qld,rockhampton,,1
2020-06-15,lga,au-qld,scenic rim,,0
2020-06-15,lga,au-qld,somerset,,1
2020-06-15,lga,au-qld,south burnett,,0
2020-06-15,lga,au-qld,southern downs,,1
2020-06-15,lga,au-qld,sunshine coast,,5
2020-06-15,lga,au-qld,tablelands,,0
2020-06-15,lga,au-qld,toowoomba,,6
2020-06-15,lga,au-qld,total,,180
2020-06-15,lga,au-qld,townsville,,0
2020-06-15,lga,au-qld,western downs,,0
2020-06-15,lga,au-qld,whitsunday,,1
2020-06-16,lga,au-qld,bundaberg,,2
2020-06-16,lga,au-qld,cairns,,7
2020-06-16,lga,au-qld,cassowary coast,,0
2020-06-16,lga,au-qld,central highlands,,0
2020-06-16,lga,au-qld,charters towers,,0
2020-06-16,lga,au-qld,douglas,,0
2020-06-16,lga,au-qld,fraser coast,,1
2020-06-16,lga,au-qld,gladstone,,1
2020-06-16,lga,au-qld,gold coast,,57
2020-06-16,lga,au-qld,gympie,,2
2020-06-16,lga,au-qld,hinchinbrook,,0
2020-06-16,lga,au-qld,ipswich,,4
2020-06-16,lga,au-qld,livingstone,,0
2020-06-16,lga,au-qld,lockyer valley,,0
2020-06-16,lga,au-qld,logan,,9
2020-06-16,lga,au-qld,mackay,,2
2020-06-16,lga,au-qld,mareeba,,0
2020-06-16,lga,au-qld,moreton bay,,9
2020-06-16,lga,au-qld,noosa,,3
2020-06-16,lga,au-qld,north burnett,,0
2020-06-16,lga,au-qld,redland,,2
2020-06-16,lga,au-qld,rockhampton,,1
2020-06-16,lga,au-qld,scenic rim,,0
2020-06-16,lga,au-qld,somerset,,1
2020-06-16,lga,au-qld,south burnett,,0
2020-06-16,lga,au-qld,southern downs,,1
2020-06-16,lga,au-qld,sunshine coast,,5
2020-06-16,lga,au-qld,tablelands,,0
2020-06-16,lga,au-qld,toowoomba,,6
2020-06-16,lga,au-qld,total,,180
2020-06-16,lga,au-qld,townsville,,0
2020-06-16,lga,au-qld,western downs,,0
2020-06-16,lga,au-qld,whitsunday,,1
2020-06-17,lga,au-qld,bundaberg,,2
2020-06-17,lga,au-qld,cairns,,7
2020-06-17,lga,au-qld,cassowary coast,,0
2020-06-17,lga,au-qld,central highlands,,0
2020-06-17,lga,au-qld,charters towers,,0
2020-06-17,lga,au-qld,douglas,,0
2020-06-17,lga,au-qld,fraser coast,,1
2020-06-17,lga,au-qld,gladstone,,1
2020-06-17,lga,au-qld,gold coast,,57
2020-06-17,lga,au-qld,gympie,,2
2020-06-17,lga,au-qld,hinchinbrook,,0
2020-06-17,lga,au-qld,ipswich,,4
2020-06-17,lga,au-qld,livingstone,,0
2020-06-17,lga,au-qld,lockyer valley,,0
2020-06-17,lga,au-qld,logan,,9
2020-06-17,lga,au-qld,mackay,,2
2020-06-17,lga,au-qld,mareeba,,0
2020-06-17,lga,au-qld,moreton bay,,9
2020-06-17,lga,au-qld,noosa,,3
2020-06-17,lga,au-qld,north burnett,,0
2020-06-17,lga,au-qld,redland,,2
2020-06-17,lga,au-qld,rockhampton,,1
2020-06-17,lga,au-qld,scenic rim,,0
2020-06-17,lga,au-qld,somerset,,1
2020-06-17,lga,au-qld,south burnett,,0
2020-06-17,lga,au-qld,southern downs,,1
2020-06-17,lga,au-qld,sunshine coast,,5
2020-06-17,lga,au-qld,tablelands,,0
2020-06-17,lga,au-qld,toowoomba,,6
2020-06-17,lga,au-qld,total,,180
2020-06-17,lga,au-qld,townsville,,0
2020-06-17,lga,au-qld,western downs,,0
2020-06-17,lga,au-qld,whitsunday,,1
2020-06-18,lga,au-qld,bundaberg,,2
2020-06-18,lga,au-qld,cairns,,7
2020-06-18,lga,au-qld,cassowary coast,,0
2020-06-18,lga,au-qld,central highlands,,0
2020-06-18,lga,au-qld,charters towers,,0
2020-06-18,lga,au-qld,douglas,,0
2020-06-18,lga,au-qld,fraser coast,,1
2020-06-18,lga,au-qld,gladstone,,1
2020-06-18,lga,au-qld,gold coast,,57
2020-06-18,lga,au-qld,gympie,,2
2020-06-18,lga,au-qld,hinchinbrook,,0
2020-06-18,lga,au-qld,ipswich,,4
2020-06-18,lga,au-qld,livingstone,,0
2020-06-18,lga,au-qld,lockyer valley,,0
2020-06-18,lga,au-qld,logan,,9
2020-06-18,lga,au-qld,mackay,,2
2020-06-18,lga,au-qld,mareeba,,0
2020-06-18,lga,au-qld,moreton bay,,9
2020-06-18,lga,au-qld,noosa,,3
2020-06-18,lga,au-qld,north burnett,,0
2020-06-18,lga,au-qld,redland,,2
2020-06-18,lga,au-qld,rockhampton,,1
2020-06-18,lga,au-qld,scenic rim,,0
2020-06-18,lga,au-qld,somerset,,1
2020-06-18,lga,au-qld,south burnett,,0
2020-06-18,lga,au-qld,southern downs,,1
2020-06-18,lga,au-qld,sunshine coast,,5
2020-06-18,lga,au-qld,tablelands,,0
2020-06-18,lga,au-qld,toowoomba,,6
2020-06-18,lga,au-qld,total,,180
2020-06-18,lga,au-qld,townsville,,0
2020-06-18,lga,au-qld,western downs,,0
2020-06-18,lga,au-qld,whitsunday,,1
2020-06-19,lga,au-qld,bundaberg,,2
2020-06-19,lga,au-qld,cairns,,7
2020-06-19,lga,au-qld,cassowary coast,,0
2020-06-19,lga,au-qld,central highlands,,0
2020-06-19,lga,au-qld,charters towers,,0
2020-06-19,lga,au-qld,douglas,,0
2020-06-19,lga,au-qld,fraser coast,,1
2020-06-19,lga,au-qld,gladstone,,1
2020-06-19,lga,au-qld,gold coast,,57
2020-06-19,lga,au-qld,gympie,,2
2020-06-19,lga,au-qld,hinchinbrook,,0
2020-06-19,lga,au-qld,ipswich,,4
2020-06-19,lga,au-qld,livingstone,,0
2020-06-19,lga,au-qld,lockyer valley,,0
2020-06-19,lga,au-qld,logan,,9
2020-06-19,lga,au-qld,mackay,,2
2020-06-19,lga,au-qld,mareeba,,0
2020-06-19,lga,au-qld,moreton bay,,9
2020-06-19,lga,au-qld,noosa,,3
2020-06-19,lga,au-qld,north burnett,,0
2020-06-19,lga,au-qld,redland,,2
2020-06-19,lga,au-qld,rockhampton,,1
2020-06-19,lga,au-qld,scenic rim,,0
2020-06-19,lga,au-qld,somerset,,1
2020-06-19,lga,au-qld,south burnett,,0
2020-06-19,lga,au-qld,southern downs,,1
2020-06-19,lga,au-qld,sunshine coast,,5
2020-06-19,lga,au-qld,tablelands,,0
2020-06-19,lga,au-qld,toowoomba,,6
2020-06-19,lga,au-qld,total,,180
2020-06-19,lga,au-qld,townsville,,0
2020-06-19,lga,au-qld,western downs,,0
2020-06-19,lga,au-qld,whitsunday,,1
2020-06-20,lga,au-qld,bundaberg,,2
2020-06-20,lga,au-qld,cairns,,7
2020-06-20,lga,au-qld,cassowary coast,,0
2020-06-20,lga,au-qld,central highlands,,0
2020-06-20,lga,au-qld,charters towers,,0
2020-06-20,lga,au-qld,douglas,,0
2020-06-20,lga,au-qld,fraser coast,,1
2020-06-20,lga,au-qld,gladstone,,1
2020-06-20,lga,au-qld,gold coast,,57
2020-06-20,lga,au-qld,gympie,,2
2020-06-20,lga,au-qld,hinchinbrook,,0
2020-06-20,lga,au-qld,ipswich,,4
2020-06-20,lga,au-qld,livingstone,,0
2020-06-20,lga,au-qld,lockyer valley,,0
2020-06-20,lga,au-qld,logan,,9
2020-06-20,lga,au-qld,mackay,,2
2020-06-20,lga,au-qld,mareeba,,0
2020-06-20,lga,au-qld,moreton bay,,9
2020-06-20,lga,au-qld,noosa,,3
2020-06-20,lga,au-qld,north burnett,,0
2020-06-20,lga,au-qld,redland,,2
2020-06-20,lga,au-qld,rockhampton,,1
2020-06-20,lga,au-qld,scenic rim,,0
2020-06-20,lga,au-qld,somerset,,1
2020-06-20,lga,au-qld,south burnett,,0
2020-06-20,lga,au-qld,southern downs,,1
2020-06-20,lga,au-qld,sunshine coast,,5
2020-06-20,lga,au-qld,tablelands,,0
2020-06-20,lga,au-qld,toowoomba,,6
2020-06-20,lga,au-qld,total,,180
2020-06-20,lga,au-qld,townsville,,0
2020-06-20,lga,au-qld,western downs,,0
2020-06-20,lga,au-qld,whitsunday,,1
2020-06-21,lga,au-qld,bundaberg,,2
2020-06-21,lga,au-qld,cairns,,7
2020-06-21,lga,au-qld,cassowary coast,,0
2020-06-21,lga,au-qld,central highlands,,0
2020-06-21,lga,au-qld,charters towers,,0
2020-06-21,lga,au-qld,douglas,,0
2020-06-21,lga,au-qld,fraser coast,,1
2020-06-21,lga,au-qld,gladstone,,1
2020-06-21,lga,au-qld,gold coast,,57
2020-06-21,lga,au-qld,gympie,,2
2020-06-21,lga,au-qld,hinchinbrook,,0
2020-06-21,lga,au-qld,ipswich,,4
2020-06-21,lga,au-qld,livingstone,,0
2020-06-21,lga,au-qld,lockyer valley,,0
2020-06-21,lga,au-qld,logan,,9
2020-06-21,lga,au-qld,mackay,,2
2020-06-21,lga,au-qld,mareeba,,0
2020-06-21,lga,au-qld,moreton bay,,9
2020-06-21,lga,au-qld,noosa,,3
2020-06-21,lga,au-qld,north burnett,,0
2020-06-21,lga,au-qld,redland,,2
2020-06-21,lga,au-qld,rockhampton,,1
2020-06-21,lga,au-qld,scenic rim,,0
2020-06-21,lga,au-qld,somerset,,1
2020-06-21,lga,au-qld,south burnett,,0
2020-06-21,lga,au-qld,southern downs,,1
2020-06-21,lga,au-qld,sunshine coast,,5
2020-06-21,lga,au-qld,tablelands,,0
2020-06-21,lga,au-qld,toowoomba,,6
2020-06-21,lga,au-qld,total,,181
2020-06-21,lga,au-qld,townsville,,0
2020-06-21,lga,au-qld,western downs,,0
2020-06-21,lga,au-qld,whitsunday,,1
2020-06-22,lga,au-qld,bundaberg,,2
2020-06-22,lga,au-qld,cairns,,7
2020-06-22,lga,au-qld,cassowary coast,,0
2020-06-22,lga,au-qld,central highlands,,0
2020-06-22,lga,au-qld,charters towers,,0
2020-06-22,lga,au-qld,douglas,,0
2020-06-22,lga,au-qld,fraser coast,,1
2020-06-22,lga,au-qld,gladstone,,1
2020-06-22,lga,au-qld,gold coast,,57
2020-06-22,lga,au-qld,gympie,,2
2020-06-22,lga,au-qld,hinchinbrook,,0
2020-06-22,lga,au-qld,ipswich,,4
2020-06-22,lga,au-qld,livingstone,,0
2020-06-22,lga,au-qld,lockyer valley,,0
2020-06-22,lga,au-qld,logan,,9
2020-06-22,lga,au-qld,mackay,,2
2020-06-22,lga,au-qld,mareeba,,0
2020-06-22,lga,au-qld,moreton bay,,9
2020-06-22,lga,au-qld,noosa,,3
2020-06-22,lga,au-qld,north burnett,,0
2020-06-22,lga,au-qld,redland,,2
2020-06-22,lga,au-qld,rockhampton,,1
2020-06-22,lga,au-qld,scenic rim,,0
2020-06-22,lga,au-qld,somerset,,1
2020-06-22,lga,au-qld,south burnett,,0
2020-06-22,lga,au-qld,southern downs,,1
2020-06-22,lga,au-qld,sunshine coast,,5
2020-06-22,lga,au-qld,tablelands,,0
2020-06-22,lga,au-qld,toowoomba,,6
2020-06-22,lga,au-qld,total,,181
2020-06-22,lga,au-qld,townsville,,0
2020-06-22,lga,au-qld,western downs,,0
2020-06-22,lga,au-qld,whitsunday,,1
2020-06-23,lga,au-qld,bundaberg,,2
2020-06-23,lga,au-qld,cairns,,7
2020-06-23,lga,au-qld,cassowary coast,,0
2020-06-23,lga,au-qld,central highlands,,0
2020-06-23,lga,au-qld,charters towers,,0
2020-06-23,lga,au-qld,douglas,,0
2020-06-23,lga,au-qld,fraser coast,,1
2020-06-23,lga,au-qld,gladstone,,1
2020-06-23,lga,au-qld,gold coast,,57
2020-06-23,lga,au-qld,gympie,,2
2020-06-23,lga,au-qld,hinchinbrook,,0
2020-06-23,lga,au-qld,ipswich,,4
2020-06-23,lga,au-qld,livingstone,,0
2020-06-23,lga,au-qld,lockyer valley,,0
2020-06-23,lga,au-qld,logan,,9
2020-06-23,lga,au-qld,mackay,,2
2020-06-23,lga,au-qld,mareeba,,0
2020-06-23,lga,au-qld,moreton bay,,9
2020-06-23,lga,au-qld,noosa,,3
2020-06-23,lga,au-qld,north burnett,,0
2020-06-23,lga,au-qld,redland,,2
2020-06-23,lga,au-qld,rockhampton,,1
2020-06-23,lga,au-qld,scenic rim,,0
2020-06-23,lga,au-qld,somerset,,1
2020-06-23,lga,au-qld,south burnett,,0
2020-06-23,lga,au-qld,southern downs,,1
2020-06-23,lga,au-qld,sunshine coast,,5
2020-06-23,lga,au-qld,tablelands,,0
2020-06-23,lga,au-qld,toowoomba,,6
2020-06-23,lga,au-qld,total,,181
2020-06-23,lga,au-qld,townsville,,0
2020-06-23,lga,au-qld,western downs,,0
2020-06-23,lga,au-qld,whitsunday,,1
2020-06-24,lga,au-qld,bundaberg,,2
2020-06-24,lga,au-qld,cairns,,7
2020-06-24,lga,au-qld,cassowary coast,,0
2020-06-24,lga,au-qld,central highlands,,0
2020-06-24,lga,au-qld,charters towers,,0
2020-06-24,lga,au-qld,douglas,,0
2020-06-24,lga,au-qld,fraser coast,,1
2020-06-24,lga,au-qld,gladstone,,1
2020-06-24,lga,au-qld,gold coast,,57
2020-06-24,lga,au-qld,gympie,,2
2020-06-24,lga,au-qld,hinchinbrook,,0
2020-06-24,lga,au-qld,ipswich,,4
2020-06-24,lga,au-qld,livingstone,,0
2020-06-24,lga,au-qld,lockyer valley,,0
2020-06-24,lga,au-qld,logan,,9
2020-06-24,lga,au-qld,mackay,,2
2020-06-24,lga,au-qld,mareeba,,0
2020-06-24,lga,au-qld,moreton bay,,9
2020-06-24,lga,au-qld,noosa,,3
2020-06-24,lga,au-qld,north burnett,,0
2020-06-24,lga,au-qld,redland,,2
2020-06-24,lga,au-qld,rockhampton,,1
2020-06-24,lga,au-qld,scenic rim,,0
2020-06-24,lga,au-qld,somerset,,1
2020-06-24,lga,au-qld,south burnett,,0
2020-06-24,lga,au-qld,southern downs,,1
2020-06-24,lga,au-qld,sunshine coast,,5
2020-06-24,lga,au-qld,tablelands,,0
2020-06-24,lga,au-qld,toowoomba,,6
2020-06-24,lga,au-qld,total,,181
2020-06-24,lga,au-qld,townsville,,0
2020-06-24,lga,au-qld,western downs,,0
2020-06-24,lga,au-qld,whitsunday,,1
2020-06-25,lga,au-qld,bundaberg,,2
2020-06-25,lga,au-qld,cairns,,7
2020-06-25,lga,au-qld,cassowary coast,,0
2020-06-25,lga,au-qld,central highlands,,0
2020-06-25,lga,au-qld,charters towers,,0
2020-06-25,lga,au-qld,douglas,,0
2020-06-25,lga,au-qld,fraser coast,,1
2020-06-25,lga,au-qld,gladstone,,1
2020-06-25,lga,au-qld,gold coast,,57
2020-06-25,lga,au-qld,gympie,,2
2020-06-25,lga,au-qld,hinchinbrook,,0
2020-06-25,lga,au-qld,ipswich,,4
2020-06-25,lga,au-qld,livingstone,,0
2020-06-25,lga,au-qld,lockyer valley,,0
2020-06-25,lga,au-qld,logan,,9
2020-06-25,lga,au-qld,mackay,,2
2020-06-25,lga,au-qld,mareeba,,0
2020-06-25,lga,au-qld,moreton bay,,9
2020-06-25,lga,au-qld,noosa,,3
2020-06-25,lga,au-qld,north burnett,,0
2020-06-25,lga,au-qld,redland,,2
2020-06-25,lga,au-qld,rockhampton,,1
2020-06-25,lga,au-qld,scenic rim,,0
2020-06-25,lga,au-qld,somerset,,1
2020-06-25,lga,au-qld,south burnett,,0
2020-06-25,lga,au-qld,southern downs,,1
2020-06-25,lga,au-qld,sunshine coast,,5
2020-06-25,lga,au-qld,tablelands,,0
2020-06-25,lga,au-qld,toowoomba,,6
2020-06-25,lga,au-qld,total,,181
2020-06-25,lga,au-qld,townsville,,0
2020-06-25,lga,au-qld,western downs,,0
2020-06-25,lga,au-qld,whitsunday,,1
2020-06-26,lga,au-qld,bundaberg,,2
2020-06-26,lga,au-qld,cairns,,7
2020-06-26,lga,au-qld,cassowary coast,,0
2020-06-26,lga,au-qld,central highlands,,0
2020-06-26,lga,au-qld,charters towers,,0
2020-06-26,lga,au-qld,douglas,,0
2020-06-26,lga,au-qld,fraser coast,,1
2020-06-26,lga,au-qld,gladstone,,1
2020-06-26,lga,au-qld,gold coast,,57
2020-06-26,lga,au-qld,gympie,,2
2020-06-26,lga,au-qld,hinchinbrook,,0
2020-06-26,lga,au-qld,ipswich,,4
2020-06-26,lga,au-qld,livingstone,,0
2020-06-26,lga,au-qld,lockyer valley,,0
2020-06-26,lga,au-qld,logan,,9
2020-06-26,lga,au-qld,mackay,,2
2020-06-26,lga,au-qld,mareeba,,0
2020-06-26,lga,au-qld,moreton bay,,9
2020-06-26,lga,au-qld,noosa,,3
2020-06-26,lga,au-qld,north burnett,,0
2020-06-26,lga,au-qld,redland,,2
2020-06-26,lga,au-qld,rockhampton,,1
2020-06-26,lga,au-qld,scenic rim,,0
2020-06-26,lga,au-qld,somerset,,1
2020-06-26,lga,au-qld,south burnett,,0
2020-06-26,lga,au-qld,southern downs,,1
2020-06-26,lga,au-qld,sunshine coast,,5
2020-06-26,lga,au-qld,tablelands,,0
2020-06-26,lga,au-qld,toowoomba,,6
2020-06-26,lga,au-qld,total,,181
2020-06-26,lga,au-qld,townsville,,0
2020-06-26,lga,au-qld,western downs,,0
2020-06-26,lga,au-qld,whitsunday,,1
2020-06-27,lga,au-qld,bundaberg,,2
2020-06-27,lga,au-qld,cairns,,7
2020-06-27,lga,au-qld,cassowary coast,,0
2020-06-27,lga,au-qld,central highlands,,0
2020-06-27,lga,au-qld,charters towers,,0
2020-06-27,lga,au-qld,douglas,,0
2020-06-27,lga,au-qld,fraser coast,,1
2020-06-27,lga,au-qld,gladstone,,1
2020-06-27,lga,au-qld,gold coast,,57
2020-06-27,lga,au-qld,gympie,,2
2020-06-27,lga,au-qld,hinchinbrook,,0
2020-06-27,lga,au-qld,ipswich,,4
2020-06-27,lga,au-qld,livingstone,,0
2020-06-27,lga,au-qld,lockyer valley,,0
2020-06-27,lga,au-qld,logan,,9
2020-06-27,lga,au-qld,mackay,,2
2020-06-27,lga,au-qld,mareeba,,0
2020-06-27,lga,au-qld,moreton bay,,9
2020-06-27,lga,au-qld,noosa,,3
2020-06-27,lga,au-qld,north burnett,,0
2020-06-27,lga,au-qld,redland,,2
2020-06-27,lga,au-qld,rockhampton,,1
2020-06-27,lga,au-qld,scenic rim,,0
2020-06-27,lga,au-qld,somerset,,1
2020-06-27,lga,au-qld,south burnett,,0
2020-06-27,lga,au-qld,southern downs,,1
2020-06-27,lga,au-qld,sunshine coast,,5
2020-06-27,lga,au-qld,tablelands,,0
2020-06-27,lga,au-qld,toowoomba,,6
2020-06-27,lga,au-qld,total,,181
2020-06-27,lga,au-qld,townsville,,0
2020-06-27,lga,au-qld,western downs,,0
2020-06-27,lga,au-qld,whitsunday,,1
2020-06-28,lga,au-qld,bundaberg,,2
2020-06-28,lga,au-qld,cairns,,7
2020-06-28,lga,au-qld,cassowary coast,,0
2020-06-28,lga,au-qld,central highlands,,0
2020-06-28,lga,au-qld,charters towers,,0
2020-06-28,lga,au-qld,douglas,,0
2020-06-28,lga,au-qld,fraser coast,,1
2020-06-28,lga,au-qld,gladstone,,1
2020-06-28,lga,au-qld,gold coast,,57
2020-06-28,lga,au-qld,gympie,,2
2020-06-28,lga,au-qld,hinchinbrook,,0
2020-06-28,lga,au-qld,ipswich,,4
2020-06-28,lga,au-qld,livingstone,,0
2020-06-28,lga,au-qld,lockyer valley,,0
2020-06-28,lga,au-qld,logan,,9
2020-06-28,lga,au-qld,mackay,,2
2020-06-28,lga,au-qld,mareeba,,0
2020-06-28,lga,au-qld,moreton bay,,8
2020-06-28,lga,au-qld,noosa,,3
2020-06-28,lga,au-qld,north burnett,,0
2020-06-28,lga,au-qld,redland,,2
2020-06-28,lga,au-qld,rockhampton,,1
2020-06-28,lga,au-qld,scenic rim,,0
2020-06-28,lga,au-qld,somerset,,1
2020-06-28,lga,au-qld,south burnett,,0
2020-06-28,lga,au-qld,southern downs,,1
2020-06-28,lga,au-qld,sunshine coast,,5
2020-06-28,lga,au-qld,tablelands,,0
2020-06-28,lga,au-qld,toowoomba,,6
2020-06-28,lga,au-qld,total,,180
2020-06-28,lga,au-qld,townsville,,0
2020-06-28,lga,au-qld,western downs,,0
2020-06-28,lga,au-qld,whitsunday,,1
2020-06-29,lga,au-qld,bundaberg,,2
2020-06-29,lga,au-qld,cairns,,7
2020-06-29,lga,au-qld,cassowary coast,,0
2020-06-29,lga,au-qld,central highlands,,0
2020-06-29,lga,au-qld,charters towers,,0
2020-06-29,lga,au-qld,douglas,,0
2020-06-29,lga,au-qld,fraser coast,,1
2020-06-29,lga,au-qld,gladstone,,1
2020-06-29,lga,au-qld,gold coast,,57
2020-06-29,lga,au-qld,gympie,,2
2020-06-29,lga,au-qld,hinchinbrook,,0
2020-06-29,lga,au-qld,ipswich,,4
2020-06-29,lga,au-qld,livingstone,,0
2020-06-29,lga,au-qld,lockyer valley,,0
2020-06-29,lga,au-qld,logan,,9
2020-06-29,lga,au-qld,mackay,,2
2020-06-29,lga,au-qld,mareeba,,0
2020-06-29,lga,au-qld,moreton bay,,8
2020-06-29,lga,au-qld,noosa,,3
2020-06-29,lga,au-qld,north burnett,,0
2020-06-29,lga,au-qld,redland,,2
2020-06-29,lga,au-qld,rockhampton,,1
2020-06-29,lga,au-qld,scenic rim,,0
2020-06-29,lga,au-qld,somerset,,1
2020-06-29,lga,au-qld,south burnett,,0
2020-06-29,lga,au-qld,southern downs,,1
2020-06-29,lga,au-qld,sunshine coast,,5
2020-06-29,lga,au-qld,tablelands,,0
2020-06-29,lga,au-qld,toowoomba,,6
2020-06-29,lga,au-qld,total,,180
2020-06-29,lga,au-qld,townsville,,0
2020-06-29,lga,au-qld,western downs,,0
2020-06-29,lga,au-qld,whitsunday,,1
2020-06-30,lga,au-qld,bundaberg,,2
2020-06-30,lga,au-qld,cairns,,7
2020-06-30,lga,au-qld,cassowary coast,,0
2020-06-30,lga,au-qld,central highlands,,0
2020-06-30,lga,au-qld,charters towers,,0
2020-06-30,lga,au-qld,douglas,,0
2020-06-30,lga,au-qld,fraser coast,,1
2020-06-30,lga,au-qld,gladstone,,1
2020-06-30,lga,au-qld,gold coast,,57
2020-06-30,lga,au-qld,gympie,,2
2020-06-30,lga,au-qld,hinchinbrook,,0
2020-06-30,lga,au-qld,ipswich,,4
2020-06-30,lga,au-qld,livingstone,,0
2020-06-30,lga,au-qld,lockyer valley,,0
2020-06-30,lga,au-qld,logan,,9
2020-06-30,lga,au-qld,mackay,,2
2020-06-30,lga,au-qld,mareeba,,0
2020-06-30,lga,au-qld,moreton bay,,8
2020-06-30,lga,au-qld,noosa,,3
2020-06-30,lga,au-qld,north burnett,,0
2020-06-30,lga,au-qld,redland,,2
2020-06-30,lga,au-qld,rockhampton,,1
2020-06-30,lga,au-qld,scenic rim,,0
2020-06-30,lga,au-qld,somerset,,1
2020-06-30,lga,au-qld,south burnett,,0
2020-06-30,lga,au-qld,southern downs,,1
2020-06-30,lga,au-qld,sunshine coast,,5
2020-06-30,lga,au-qld,tablelands,,0
2020-06-30,lga,au-qld,toowoomba,,6
2020-06-30,lga,au-qld,total,,180
2020-06-30,lga,au-qld,townsville,,0
2020-06-30,lga,au-qld,western downs,,0
2020-06-30,lga,au-qld,whitsunday,,1
2020-07-01,lga,au-qld,bundaberg,,2
2020-07-01,lga,au-qld,cairns,,7
2020-07-01,lga,au-qld,cassowary coast,,0
2020-07-01,lga,au-qld,central highlands,,0
2020-07-01,lga,au-qld,charters towers,,0
2020-07-01,lga,au-qld,douglas,,0
2020-07-01,lga,au-qld,fraser coast,,1
2020-07-01,lga,au-qld,gladstone,,1
2020-07-01,lga,au-qld,gold coast,,57
2020-07-01,lga,au-qld,gympie,,2
2020-07-01,lga,au-qld,hinchinbrook,,0
2020-07-01,lga,au-qld,ipswich,,4
2020-07-01,lga,au-qld,livingstone,,0
2020-07-01,lga,au-qld,lockyer valley,,0
2020-07-01,lga,au-qld,logan,,9
2020-07-01,lga,au-qld,mackay,,2
2020-07-01,lga,au-qld,mareeba,,0
2020-07-01,lga,au-qld,moreton bay,,8
2020-07-01,lga,au-qld,noosa,,3
2020-07-01,lga,au-qld,north burnett,,0
2020-07-01,lga,au-qld,redland,,2
2020-07-01,lga,au-qld,rockhampton,,1
2020-07-01,lga,au-qld,scenic rim,,0
2020-07-01,lga,au-qld,somerset,,1
2020-07-01,lga,au-qld,south burnett,,0
2020-07-01,lga,au-qld,southern downs,,1
2020-07-01,lga,au-qld,sunshine coast,,5
2020-07-01,lga,au-qld,tablelands,,0
2020-07-01,lga,au-qld,toowoomba,,6
2020-07-01,lga,au-qld,total,,180
2020-07-01,lga,au-qld,townsville,,0
2020-07-01,lga,au-qld,western downs,,0
2020-07-01,lga,au-qld,whitsunday,,1
2020-07-02,lga,au-qld,bundaberg,,2
2020-07-02,lga,au-qld,cairns,,7
2020-07-02,lga,au-qld,cassowary coast,,0
2020-07-02,lga,au-qld,central highlands,,0
2020-07-02,lga,au-qld,charters towers,,0
2020-07-02,lga,au-qld,douglas,,0
2020-07-02,lga,au-qld,fraser coast,,1
2020-07-02,lga,au-qld,gladstone,,1
