date,region_schema,region_parent,region_child,agerange,value
2020-06-29,lga,au-nsw,murrumbidgee,,0
2020-06-29,lga,au-nsw,muswellbrook,,0
2020-06-29,lga,au-nsw,nambucca,,0
2020-06-29,lga,au-nsw,narrandera,,0
2020-06-29,lga,au-nsw,narromine,,0
2020-06-29,lga,au-nsw,newcastle,,0
2020-06-29,lga,au-nsw,north sydney,,0
2020-06-29,lga,au-nsw,northern beaches,,0
2020-06-29,lga,au-nsw,orange,,0
2020-06-29,lga,au-nsw,parkes,,0
2020-06-29,lga,au-nsw,parramatta,,0
2020-06-29,lga,au-nsw,penrith,,0
2020-06-29,lga,au-nsw,port macquarie-hastings,,0
2020-06-29,lga,au-nsw,port stephens,,0
2020-06-29,lga,au-nsw,queanbeyan-palerang,,0
2020-06-29,lga,au-nsw,randwick,,0
2020-06-29,lga,au-nsw,richmond valley,,0
2020-06-29,lga,au-nsw,ryde,,0
2020-06-29,lga,au-nsw,shellharbour,,0
2020-06-29,lga,au-nsw,shoalhaven,,0
2020-06-29,lga,au-nsw,singleton,,0
2020-06-29,lga,au-nsw,snowy monaro,,0
2020-06-29,lga,au-nsw,strathfield,,0
2020-06-29,lga,au-nsw,sutherland,,0
2020-06-29,lga,au-nsw,sydney,,0
2020-06-29,lga,au-nsw,tamworth,,0
2020-06-29,lga,au-nsw,tenterfield,,0
2020-06-29,lga,au-nsw,tweed,,0
2020-06-29,lga,au-nsw,unknown,,0
2020-06-29,lga,au-nsw,upper hunter,,0
2020-06-29,lga,au-nsw,upper lachlan,,0
2020-06-29,lga,au-nsw,uralla,,0
2020-06-29,lga,au-nsw,wagga wagga,,0
2020-06-29,lga,au-nsw,warren,,0
2020-06-29,lga,au-nsw,warrumbungle,,0
2020-06-29,lga,au-nsw,waverley,,0
2020-06-29,lga,au-nsw,weddin,,0
2020-06-29,lga,au-nsw,willoughby,,0
2020-06-29,lga,au-nsw,wingecarribee,,0
2020-06-29,lga,au-nsw,wollondilly,,0
2020-06-29,lga,au-nsw,wollongong,,0
2020-06-29,lga,au-nsw,woollahra,,0
2020-06-29,lga,au-nsw,yass valley,,0
2020-06-30,lga,au-nsw,albury,,0
2020-06-30,lga,au-nsw,armidale,,0
2020-06-30,lga,au-nsw,ballina,,0
2020-06-30,lga,au-nsw,bathurst,,0
2020-06-30,lga,au-nsw,bayside,,0
2020-06-30,lga,au-nsw,bega valley,,0
2020-06-30,lga,au-nsw,bellingen,,0
2020-06-30,lga,au-nsw,berrigan,,0
2020-06-30,lga,au-nsw,blacktown,,3
2020-06-30,lga,au-nsw,blayney,,0
2020-06-30,lga,au-nsw,blue mountains,,0
2020-06-30,lga,au-nsw,broken hill,,0
2020-06-30,lga,au-nsw,burwood,,0
2020-06-30,lga,au-nsw,byron,,0
2020-06-30,lga,au-nsw,cabonne,,0
2020-06-30,lga,au-nsw,camden,,0
2020-06-30,lga,au-nsw,campbelltown,,0
2020-06-30,lga,au-nsw,canada bay,,0
2020-06-30,lga,au-nsw,canterbury-bankstown,,1
2020-06-30,lga,au-nsw,central coast,,0
2020-06-30,lga,au-nsw,cessnock,,0
2020-06-30,lga,au-nsw,clarence valley,,0
2020-06-30,lga,au-nsw,coffs harbour,,0
2020-06-30,lga,au-nsw,cootamundra-gundagai,,0
2020-06-30,lga,au-nsw,cumberland,,0
2020-06-30,lga,au-nsw,dubbo,,0
2020-06-30,lga,au-nsw,dungog,,0
2020-06-30,lga,au-nsw,eurobodalla,,0
2020-06-30,lga,au-nsw,fairfield,,0
2020-06-30,lga,au-nsw,federation,,0
2020-06-30,lga,au-nsw,georges river,,0
2020-06-30,lga,au-nsw,glen innes severn,,0
2020-06-30,lga,au-nsw,goulburn mulwaree,,0
2020-06-30,lga,au-nsw,greater hume,,0
2020-06-30,lga,au-nsw,griffith,,0
2020-06-30,lga,au-nsw,gunnedah,,0
2020-06-30,lga,au-nsw,hawkesbury,,0
2020-06-30,lga,au-nsw,hay,,0
2020-06-30,lga,au-nsw,hills,,0
2020-06-30,lga,au-nsw,hilltops,,0
2020-06-30,lga,au-nsw,hornsby,,1
2020-06-30,lga,au-nsw,hunters hill,,0
2020-06-30,lga,au-nsw,inner west,,0
2020-06-30,lga,au-nsw,inverell,,0
2020-06-30,lga,au-nsw,kempsey,,0
2020-06-30,lga,au-nsw,kiama,,0
2020-06-30,lga,au-nsw,ku-ring-gai,,0
2020-06-30,lga,au-nsw,lake macquarie,,0
2020-06-30,lga,au-nsw,lane cove,,0
2020-06-30,lga,au-nsw,lismore,,0
2020-06-30,lga,au-nsw,lithgow,,0
2020-06-30,lga,au-nsw,liverpool,,0
2020-06-30,lga,au-nsw,liverpool plains,,0
2020-06-30,lga,au-nsw,maitland,,0
2020-06-30,lga,au-nsw,mid-coast,,0
2020-06-30,lga,au-nsw,mid-western,,0
2020-06-30,lga,au-nsw,moree plains,,0
2020-06-30,lga,au-nsw,mosman,,0
2020-06-30,lga,au-nsw,murrumbidgee,,0
2020-06-30,lga,au-nsw,muswellbrook,,0
2020-06-30,lga,au-nsw,nambucca,,0
2020-06-30,lga,au-nsw,narrandera,,0
2020-06-30,lga,au-nsw,narromine,,0
2020-06-30,lga,au-nsw,newcastle,,0
2020-06-30,lga,au-nsw,north sydney,,0
2020-06-30,lga,au-nsw,northern beaches,,0
2020-06-30,lga,au-nsw,orange,,0
2020-06-30,lga,au-nsw,parkes,,0
2020-06-30,lga,au-nsw,parramatta,,2
2020-06-30,lga,au-nsw,penrith,,1
2020-06-30,lga,au-nsw,port macquarie-hastings,,0
2020-06-30,lga,au-nsw,port stephens,,0
2020-06-30,lga,au-nsw,queanbeyan-palerang,,0
2020-06-30,lga,au-nsw,randwick,,0
2020-06-30,lga,au-nsw,richmond valley,,0
2020-06-30,lga,au-nsw,ryde,,0
2020-06-30,lga,au-nsw,shellharbour,,0
2020-06-30,lga,au-nsw,shoalhaven,,0
2020-06-30,lga,au-nsw,singleton,,0
2020-06-30,lga,au-nsw,snowy monaro,,0
2020-06-30,lga,au-nsw,strathfield,,0
2020-06-30,lga,au-nsw,sutherland,,0
2020-06-30,lga,au-nsw,sydney,,0
2020-06-30,lga,au-nsw,tamworth,,0
2020-06-30,lga,au-nsw,tenterfield,,0
2020-06-30,lga,au-nsw,tweed,,0
2020-06-30,lga,au-nsw,unknown,,0
2020-06-30,lga,au-nsw,upper hunter,,0
2020-06-30,lga,au-nsw,upper lachlan,,0
2020-06-30,lga,au-nsw,uralla,,0
2020-06-30,lga,au-nsw,wagga wagga,,0
2020-06-30,lga,au-nsw,warren,,0
2020-06-30,lga,au-nsw,warrumbungle,,0
2020-06-30,lga,au-nsw,waverley,,0
2020-06-30,lga,au-nsw,weddin,,0
2020-06-30,lga,au-nsw,willoughby,,0
2020-06-30,lga,au-nsw,wingecarribee,,0
2020-06-30,lga,au-nsw,wollondilly,,0
2020-06-30,lga,au-nsw,wollongong,,0
2020-06-30,lga,au-nsw,woollahra,,0
2020-06-30,lga,au-nsw,yass valley,,0
2020-07-01,lga,au-nsw,albury,,-1
2020-07-01,lga,au-nsw,armidale,,0
2020-07-01,lga,au-nsw,ballina,,0
2020-07-01,lga,au-nsw,bathurst,,0
2020-07-01,lga,au-nsw,bayside,,0
2020-07-01,lga,au-nsw,bega valley,,0
2020-07-01,lga,au-nsw,bellingen,,0
2020-07-01,lga,au-nsw,berrigan,,0
2020-07-01,lga,au-nsw,blacktown,,0
2020-07-01,lga,au-nsw,blayney,,0
2020-07-01,lga,au-nsw,blue mountains,,0
2020-07-01,lga,au-nsw,broken hill,,0
2020-07-01,lga,au-nsw,burwood,,0
2020-07-01,lga,au-nsw,byron,,0
2020-07-01,lga,au-nsw,cabonne,,0
2020-07-01,lga,au-nsw,camden,,0
2020-07-01,lga,au-nsw,campbelltown,,0
2020-07-01,lga,au-nsw,canada bay,,0
2020-07-01,lga,au-nsw,canterbury-bankstown,,0
2020-07-01,lga,au-nsw,central coast,,0
2020-07-01,lga,au-nsw,cessnock,,0
2020-07-01,lga,au-nsw,clarence valley,,0
2020-07-01,lga,au-nsw,coffs harbour,,0
2020-07-01,lga,au-nsw,cootamundra-gundagai,,0
2020-07-01,lga,au-nsw,cumberland,,2
2020-07-01,lga,au-nsw,dubbo,,0
2020-07-01,lga,au-nsw,dungog,,0
2020-07-01,lga,au-nsw,eurobodalla,,0
2020-07-01,lga,au-nsw,fairfield,,0
2020-07-01,lga,au-nsw,federation,,0
2020-07-01,lga,au-nsw,georges river,,0
2020-07-01,lga,au-nsw,glen innes severn,,0
2020-07-01,lga,au-nsw,goulburn mulwaree,,0
2020-07-01,lga,au-nsw,greater hume,,0
2020-07-01,lga,au-nsw,griffith,,0
2020-07-01,lga,au-nsw,gunnedah,,0
2020-07-01,lga,au-nsw,hawkesbury,,0
2020-07-01,lga,au-nsw,hay,,0
2020-07-01,lga,au-nsw,hills,,0
2020-07-01,lga,au-nsw,hilltops,,0
2020-07-01,lga,au-nsw,hornsby,,0
2020-07-01,lga,au-nsw,hunters hill,,0
2020-07-01,lga,au-nsw,inner west,,0
2020-07-01,lga,au-nsw,inverell,,0
2020-07-01,lga,au-nsw,kempsey,,0
2020-07-01,lga,au-nsw,kiama,,0
2020-07-01,lga,au-nsw,ku-ring-gai,,0
2020-07-01,lga,au-nsw,lake macquarie,,0
2020-07-01,lga,au-nsw,lane cove,,0
2020-07-01,lga,au-nsw,lismore,,0
2020-07-01,lga,au-nsw,lithgow,,0
2020-07-01,lga,au-nsw,liverpool,,0
2020-07-01,lga,au-nsw,liverpool plains,,0
2020-07-01,lga,au-nsw,maitland,,0
2020-07-01,lga,au-nsw,mid-coast,,0
2020-07-01,lga,au-nsw,mid-western,,0
2020-07-01,lga,au-nsw,moree plains,,0
2020-07-01,lga,au-nsw,mosman,,0
2020-07-01,lga,au-nsw,murrumbidgee,,0
2020-07-01,lga,au-nsw,muswellbrook,,0
2020-07-01,lga,au-nsw,nambucca,,0
2020-07-01,lga,au-nsw,narrandera,,0
2020-07-01,lga,au-nsw,narromine,,0
2020-07-01,lga,au-nsw,newcastle,,0
2020-07-01,lga,au-nsw,north sydney,,0
2020-07-01,lga,au-nsw,northern beaches,,0
2020-07-01,lga,au-nsw,orange,,0
2020-07-01,lga,au-nsw,parkes,,0
2020-07-01,lga,au-nsw,parramatta,,0
2020-07-01,lga,au-nsw,penrith,,0
2020-07-01,lga,au-nsw,port macquarie-hastings,,0
2020-07-01,lga,au-nsw,port stephens,,0
2020-07-01,lga,au-nsw,queanbeyan-palerang,,0
2020-07-01,lga,au-nsw,randwick,,0
2020-07-01,lga,au-nsw,richmond valley,,0
2020-07-01,lga,au-nsw,ryde,,0
2020-07-01,lga,au-nsw,shellharbour,,0
2020-07-01,lga,au-nsw,shoalhaven,,0
2020-07-01,lga,au-nsw,singleton,,0
2020-07-01,lga,au-nsw,snowy monaro,,0
2020-07-01,lga,au-nsw,strathfield,,0
2020-07-01,lga,au-nsw,sutherland,,0
2020-07-01,lga,au-nsw,sydney,,0
2020-07-01,lga,au-nsw,tamworth,,0
2020-07-01,lga,au-nsw,tenterfield,,0
2020-07-01,lga,au-nsw,tweed,,0
2020-07-01,lga,au-nsw,unknown,,0
2020-07-01,lga,au-nsw,upper hunter,,0
2020-07-01,lga,au-nsw,upper lachlan,,0
2020-07-01,lga,au-nsw,uralla,,0
2020-07-01,lga,au-nsw,wagga wagga,,0
2020-07-01,lga,au-nsw,warren,,0
2020-07-01,lga,au-nsw,warrumbungle,,0
2020-07-01,lga,au-nsw,waverley,,0
2020-07-01,lga,au-nsw,weddin,,0
2020-07-01,lga,au-nsw,willoughby,,0
2020-07-01,lga,au-nsw,wingecarribee,,0
2020-07-01,lga,au-nsw,wollondilly,,0
2020-07-01,lga,au-nsw,wollongong,,0
2020-07-01,lga,au-nsw,woollahra,,1
2020-07-01,lga,au-nsw,yass valley,,0
2020-07-02,lga,au-nsw,albury,,0
2020-07-02,lga,au-nsw,armidale,,0
2020-07-02,lga,au-nsw,ballina,,0
2020-07-02,lga,au-nsw,bathurst,,0
2020-07-02,lga,au-nsw,bayside,,0
2020-07-02,lga,au-nsw,bega valley,,0
2020-07-02,lga,au-nsw,bellingen,,0
2020-07-02,lga,au-nsw,berrigan,,0
2020-07-02,lga,au-nsw,blacktown,,0
2020-07-02,lga,au-nsw,blayney,,0
2020-07-02,lga,au-nsw,blue mountains,,0
2020-07-02,lga,au-nsw,broken hill,,0
2020-07-02,lga,au-nsw,burwood,,0
2020-07-02,lga,au-nsw,byron,,0
2020-07-02,lga,au-nsw,cabonne,,0
2020-07-02,lga,au-nsw,camden,,0
2020-07-02,lga,au-nsw,campbelltown,,0
2020-07-02,lga,au-nsw,canada bay,,0
2020-07-02,lga,au-nsw,canterbury-bankstown,,0
2020-07-02,lga,au-nsw,central coast,,1
2020-07-02,lga,au-nsw,cessnock,,0
2020-07-02,lga,au-nsw,clarence valley,,0
2020-07-02,lga,au-nsw,coffs harbour,,0
2020-07-02,lga,au-nsw,cootamundra-gundagai,,0
2020-07-02,lga,au-nsw,cumberland,,0
2020-07-02,lga,au-nsw,dubbo,,0
2020-07-02,lga,au-nsw,dungog,,0
2020-07-02,lga,au-nsw,eurobodalla,,0
2020-07-02,lga,au-nsw,fairfield,,0
2020-07-02,lga,au-nsw,federation,,0
2020-07-02,lga,au-nsw,georges river,,0
2020-07-02,lga,au-nsw,glen innes severn,,0
2020-07-02,lga,au-nsw,goulburn mulwaree,,0
2020-07-02,lga,au-nsw,greater hume,,0
2020-07-02,lga,au-nsw,griffith,,0
2020-07-02,lga,au-nsw,gunnedah,,0
2020-07-02,lga,au-nsw,hawkesbury,,0
2020-07-02,lga,au-nsw,hay,,0
2020-07-02,lga,au-nsw,hills,,0
2020-07-02,lga,au-nsw,hilltops,,0
2020-07-02,lga,au-nsw,hornsby,,0
2020-07-02,lga,au-nsw,hunters hill,,0
2020-07-02,lga,au-nsw,inner west,,0
2020-07-02,lga,au-nsw,inverell,,0
2020-07-02,lga,au-nsw,kempsey,,0
2020-07-02,lga,au-nsw,kiama,,0
2020-07-02,lga,au-nsw,ku-ring-gai,,0
2020-07-02,lga,au-nsw,lake macquarie,,0
2020-07-02,lga,au-nsw,lane cove,,0
2020-07-02,lga,au-nsw,lismore,,0
2020-07-02,lga,au-nsw,lithgow,,0
2020-07-02,lga,au-nsw,liverpool,,0
2020-07-02,lga,au-nsw,liverpool plains,,0
2020-07-02,lga,au-nsw,maitland,,0
2020-07-02,lga,au-nsw,mid-coast,,0
2020-07-02,lga,au-nsw,mid-western,,0
2020-07-02,lga,au-nsw,moree plains,,0
2020-07-02,lga,au-nsw,mosman,,0
2020-07-02,lga,au-nsw,murrumbidgee,,0
2020-07-02,lga,au-nsw,muswellbrook,,0
2020-07-02,lga,au-nsw,nambucca,,0
2020-07-02,lga,au-nsw,narrandera,,0
2020-07-02,lga,au-nsw,narromine,,0
2020-07-02,lga,au-nsw,newcastle,,0
2020-07-02,lga,au-nsw,north sydney,,0
2020-07-02,lga,au-nsw,northern beaches,,0
2020-07-02,lga,au-nsw,orange,,0
2020-07-02,lga,au-nsw,parkes,,0
2020-07-02,lga,au-nsw,parramatta,,0
2020-07-02,lga,au-nsw,penrith,,0
2020-07-02,lga,au-nsw,port macquarie-hastings,,0
2020-07-02,lga,au-nsw,port stephens,,0
2020-07-02,lga,au-nsw,queanbeyan-palerang,,0
2020-07-02,lga,au-nsw,randwick,,0
2020-07-02,lga,au-nsw,richmond valley,,0
2020-07-02,lga,au-nsw,ryde,,0
2020-07-02,lga,au-nsw,shellharbour,,0
2020-07-02,lga,au-nsw,shoalhaven,,0
2020-07-02,lga,au-nsw,singleton,,0
2020-07-02,lga,au-nsw,snowy monaro,,0
2020-07-02,lga,au-nsw,strathfield,,0
2020-07-02,lga,au-nsw,sutherland,,0
2020-07-02,lga,au-nsw,sydney,,0
2020-07-02,lga,au-nsw,tamworth,,0
2020-07-02,lga,au-nsw,tenterfield,,0
2020-07-02,lga,au-nsw,tweed,,0
2020-07-02,lga,au-nsw,unknown,,0
2020-07-02,lga,au-nsw,upper hunter,,0
2020-07-02,lga,au-nsw,upper lachlan,,0
2020-07-02,lga,au-nsw,uralla,,0
2020-07-02,lga,au-nsw,wagga wagga,,0
2020-07-02,lga,au-nsw,warren,,0
2020-07-02,lga,au-nsw,warrumbungle,,0
2020-07-02,lga,au-nsw,waverley,,0
2020-07-02,lga,au-nsw,weddin,,0
2020-07-02,lga,au-nsw,willoughby,,0
2020-07-02,lga,au-nsw,wingecarribee,,0
2020-07-02,lga,au-nsw,wollondilly,,0
2020-07-02,lga,au-nsw,wollongong,,0
2020-07-02,lga,au-nsw,woollahra,,0
2020-07-02,lga,au-nsw,yass valley,,0
2020-07-03,lga,au-nsw,albury,,0
2020-07-03,lga,au-nsw,armidale,,0
2020-07-03,lga,au-nsw,ballina,,0
2020-07-03,lga,au-nsw,bathurst,,0
2020-07-03,lga,au-nsw,bayside,,0
2020-07-03,lga,au-nsw,bega valley,,0
2020-07-03,lga,au-nsw,bellingen,,0
2020-07-03,lga,au-nsw,berrigan,,0
2020-07-03,lga,au-nsw,blacktown,,2
2020-07-03,lga,au-nsw,blayney,,0
2020-07-03,lga,au-nsw,blue mountains,,0
2020-07-03,lga,au-nsw,broken hill,,0
2020-07-03,lga,au-nsw,burwood,,0
2020-07-03,lga,au-nsw,byron,,0
2020-07-03,lga,au-nsw,cabonne,,0
2020-07-03,lga,au-nsw,camden,,0
2020-07-03,lga,au-nsw,campbelltown,,0
2020-07-03,lga,au-nsw,canada bay,,0
2020-07-03,lga,au-nsw,canterbury-bankstown,,0
2020-07-03,lga,au-nsw,central coast,,0
2020-07-03,lga,au-nsw,cessnock,,0
2020-07-03,lga,au-nsw,clarence valley,,0
2020-07-03,lga,au-nsw,coffs harbour,,0
2020-07-03,lga,au-nsw,cootamundra-gundagai,,0
2020-07-03,lga,au-nsw,cumberland,,2
2020-07-03,lga,au-nsw,dubbo,,0
2020-07-03,lga,au-nsw,dungog,,0
2020-07-03,lga,au-nsw,eurobodalla,,0
2020-07-03,lga,au-nsw,fairfield,,0
2020-07-03,lga,au-nsw,federation,,0
2020-07-03,lga,au-nsw,georges river,,0
2020-07-03,lga,au-nsw,glen innes severn,,0
2020-07-03,lga,au-nsw,goulburn mulwaree,,0
2020-07-03,lga,au-nsw,greater hume,,0
2020-07-03,lga,au-nsw,griffith,,0
2020-07-03,lga,au-nsw,gunnedah,,0
2020-07-03,lga,au-nsw,hawkesbury,,0
2020-07-03,lga,au-nsw,hay,,0
2020-07-03,lga,au-nsw,hills,,0
2020-07-03,lga,au-nsw,hilltops,,0
2020-07-03,lga,au-nsw,hornsby,,0
2020-07-03,lga,au-nsw,hunters hill,,0
2020-07-03,lga,au-nsw,inner west,,0
2020-07-03,lga,au-nsw,inverell,,0
2020-07-03,lga,au-nsw,kempsey,,0
2020-07-03,lga,au-nsw,kiama,,0
2020-07-03,lga,au-nsw,ku-ring-gai,,0
2020-07-03,lga,au-nsw,lake macquarie,,0
2020-07-03,lga,au-nsw,lane cove,,0
2020-07-03,lga,au-nsw,lismore,,0
2020-07-03,lga,au-nsw,lithgow,,0
2020-07-03,lga,au-nsw,liverpool,,0
2020-07-03,lga,au-nsw,liverpool plains,,0
2020-07-03,lga,au-nsw,maitland,,0
2020-07-03,lga,au-nsw,mid-coast,,0
2020-07-03,lga,au-nsw,mid-western,,0
2020-07-03,lga,au-nsw,moree plains,,0
2020-07-03,lga,au-nsw,mosman,,0
2020-07-03,lga,au-nsw,murrumbidgee,,0
2020-07-03,lga,au-nsw,muswellbrook,,0
2020-07-03,lga,au-nsw,nambucca,,0
2020-07-03,lga,au-nsw,narrandera,,0
2020-07-03,lga,au-nsw,narromine,,0
2020-07-03,lga,au-nsw,newcastle,,0
2020-07-03,lga,au-nsw,north sydney,,0
2020-07-03,lga,au-nsw,northern beaches,,1
2020-07-03,lga,au-nsw,orange,,0
2020-07-03,lga,au-nsw,parkes,,0
2020-07-03,lga,au-nsw,parramatta,,0
2020-07-03,lga,au-nsw,penrith,,0
2020-07-03,lga,au-nsw,port macquarie-hastings,,0
2020-07-03,lga,au-nsw,port stephens,,0
2020-07-03,lga,au-nsw,queanbeyan-palerang,,0
2020-07-03,lga,au-nsw,randwick,,0
2020-07-03,lga,au-nsw,richmond valley,,0
2020-07-03,lga,au-nsw,ryde,,0
2020-07-03,lga,au-nsw,shellharbour,,0
2020-07-03,lga,au-nsw,shoalhaven,,0
2020-07-03,lga,au-nsw,singleton,,0
2020-07-03,lga,au-nsw,snowy monaro,,0
2020-07-03,lga,au-nsw,strathfield,,1
2020-07-03,lga,au-nsw,sutherland,,1
2020-07-03,lga,au-nsw,sydney,,0
2020-07-03,lga,au-nsw,tamworth,,0
2020-07-03,lga,au-nsw,tenterfield,,0
2020-07-03,lga,au-nsw,tweed,,0
2020-07-03,lga,au-nsw,unknown,,0
2020-07-03,lga,au-nsw,upper hunter,,0
2020-07-03,lga,au-nsw,upper lachlan,,0
2020-07-03,lga,au-nsw,uralla,,0
2020-07-03,lga,au-nsw,wagga wagga,,0
2020-07-03,lga,au-nsw,warren,,0
2020-07-03,lga,au-nsw,warrumbungle,,0
2020-07-03,lga,au-nsw,waverley,,0
2020-07-03,lga,au-nsw,weddin,,0
2020-07-03,lga,au-nsw,willoughby,,0
2020-07-03,lga,au-nsw,wingecarribee,,0
2020-07-03,lga,au-nsw,wollondilly,,0
2020-07-03,lga,au-nsw,wollongong,,0
2020-07-03,lga,au-nsw,woollahra,,0
2020-07-03,lga,au-nsw,yass valley,,0
2020-07-04,lga,au-nsw,albury,,-1
2020-07-04,lga,au-nsw,armidale,,0
2020-07-04,lga,au-nsw,ballina,,0
2020-07-04,lga,au-nsw,bathurst,,0
2020-07-04,lga,au-nsw,bayside,,0
2020-07-04,lga,au-nsw,bega valley,,0
2020-07-04,lga,au-nsw,bellingen,,0
2020-07-04,lga,au-nsw,berrigan,,0
2020-07-04,lga,au-nsw,blacktown,,1
2020-07-04,lga,au-nsw,blayney,,0
2020-07-04,lga,au-nsw,blue mountains,,0
2020-07-04,lga,au-nsw,broken hill,,0
2020-07-04,lga,au-nsw,burwood,,0
2020-07-04,lga,au-nsw,byron,,0
2020-07-04,lga,au-nsw,cabonne,,0
2020-07-04,lga,au-nsw,camden,,0
2020-07-04,lga,au-nsw,campbelltown,,0
2020-07-04,lga,au-nsw,canada bay,,0
2020-07-04,lga,au-nsw,canterbury-bankstown,,3
2020-07-04,lga,au-nsw,central coast,,0
2020-07-04,lga,au-nsw,cessnock,,0
2020-07-04,lga,au-nsw,clarence valley,,0
2020-07-04,lga,au-nsw,coffs harbour,,0
2020-07-04,lga,au-nsw,cootamundra-gundagai,,0
2020-07-04,lga,au-nsw,cumberland,,0
2020-07-04,lga,au-nsw,dubbo,,0
2020-07-04,lga,au-nsw,dungog,,0
2020-07-04,lga,au-nsw,eurobodalla,,0
2020-07-04,lga,au-nsw,fairfield,,1
2020-07-04,lga,au-nsw,federation,,0
2020-07-04,lga,au-nsw,georges river,,0
2020-07-04,lga,au-nsw,glen innes severn,,0
2020-07-04,lga,au-nsw,goulburn mulwaree,,0
2020-07-04,lga,au-nsw,greater hume,,0
2020-07-04,lga,au-nsw,griffith,,0
2020-07-04,lga,au-nsw,gunnedah,,0
2020-07-04,lga,au-nsw,hawkesbury,,0
2020-07-04,lga,au-nsw,hay,,0
2020-07-04,lga,au-nsw,hills,,0
2020-07-04,lga,au-nsw,hilltops,,0
2020-07-04,lga,au-nsw,hornsby,,0
2020-07-04,lga,au-nsw,hunters hill,,0
2020-07-04,lga,au-nsw,inner west,,1
2020-07-04,lga,au-nsw,inverell,,0
2020-07-04,lga,au-nsw,kempsey,,0
2020-07-04,lga,au-nsw,kiama,,0
2020-07-04,lga,au-nsw,ku-ring-gai,,0
2020-07-04,lga,au-nsw,lake macquarie,,0
2020-07-04,lga,au-nsw,lane cove,,0
2020-07-04,lga,au-nsw,lismore,,0
2020-07-04,lga,au-nsw,lithgow,,0
2020-07-04,lga,au-nsw,liverpool,,1
2020-07-04,lga,au-nsw,liverpool plains,,0
2020-07-04,lga,au-nsw,maitland,,0
2020-07-04,lga,au-nsw,mid-coast,,0
2020-07-04,lga,au-nsw,mid-western,,0
2020-07-04,lga,au-nsw,moree plains,,0
2020-07-04,lga,au-nsw,mosman,,0
2020-07-04,lga,au-nsw,murrumbidgee,,0
2020-07-04,lga,au-nsw,muswellbrook,,0
2020-07-04,lga,au-nsw,nambucca,,0
2020-07-04,lga,au-nsw,narrandera,,0
2020-07-04,lga,au-nsw,narromine,,0
2020-07-04,lga,au-nsw,newcastle,,0
2020-07-04,lga,au-nsw,north sydney,,0
2020-07-04,lga,au-nsw,northern beaches,,0
2020-07-04,lga,au-nsw,orange,,0
2020-07-04,lga,au-nsw,parkes,,0
2020-07-04,lga,au-nsw,parramatta,,0
