date,region_schema,region_parent,region_child,agerange,value
2020-01-02,admin_1,de,de-nw,,1
2020-01-09,admin_1,es,cataluña,,0
2020-01-09,admin_1,es,comunidad valenciana,,0
2020-01-09,admin_1,es,es-an,,0
2020-01-09,admin_1,es,es-ar,,0
2020-01-09,admin_1,es,es-as,,0
2020-01-09,admin_1,es,es-ce,,0
2020-01-09,admin_1,es,es-cl,,0
2020-01-09,admin_1,es,es-cm,,0
2020-01-09,admin_1,es,es-cn,,0
2020-01-09,admin_1,es,es-ex,,0
2020-01-09,admin_1,es,es-ga,,0
2020-01-09,admin_1,es,es-lo,,1
2020-01-09,admin_1,es,es-mc,,0
2020-01-09,admin_1,es,es-md,,0
2020-01-09,admin_1,es,es-ml,,0
2020-01-09,admin_1,es,es-nc,,0
2020-01-09,admin_1,es,es-pv,,0
2020-01-09,admin_1,es,es-s,,0
2020-01-09,admin_1,es,islas baleares,,0
2020-01-10,admin_1,es,es-an,,0
2020-01-10,admin_1,es,es-ar,,0
2020-01-10,admin_1,es,es-as,,0
2020-01-10,admin_1,es,es-ce,,0
2020-01-10,admin_1,es,es-cl,,0
2020-01-10,admin_1,es,es-cm,,0
2020-01-10,admin_1,es,es-ex,,0
2020-01-10,admin_1,es,es-ga,,0
2020-01-10,admin_1,es,es-mc,,0
2020-01-10,admin_1,es,es-md,,0
2020-01-10,admin_1,es,es-ml,,0
2020-01-10,admin_1,es,es-nc,,0
2020-01-10,admin_1,es,es-pv,,0
2020-01-11,admin_1,es,es-an,,0
2020-01-11,admin_1,es,es-ar,,0
2020-01-11,admin_1,es,es-as,,0
2020-01-11,admin_1,es,es-ce,,0
2020-01-11,admin_1,es,es-cl,,0
2020-01-11,admin_1,es,es-cm,,0
2020-01-11,admin_1,es,es-ex,,0
2020-01-11,admin_1,es,es-ga,,0
2020-01-11,admin_1,es,es-mc,,0
2020-01-11,admin_1,es,es-md,,0
2020-01-11,admin_1,es,es-ml,,0
2020-01-11,admin_1,es,es-nc,,0
2020-01-11,admin_1,es,es-pv,,0
2020-01-11,admin_1,gb,gb-nir,,1
2020-01-12,admin_1,es,es-an,,0
2020-01-12,admin_1,es,es-ar,,0
2020-01-12,admin_1,es,es-as,,0
2020-01-12,admin_1,es,es-ce,,0
2020-01-12,admin_1,es,es-cl,,0
2020-01-12,admin_1,es,es-cm,,0
2020-01-12,admin_1,es,es-ex,,0
2020-01-12,admin_1,es,es-ga,,0
2020-01-12,admin_1,es,es-mc,,0
2020-01-12,admin_1,es,es-md,,0
2020-01-12,admin_1,es,es-ml,,0
2020-01-12,admin_1,es,es-nc,,0
2020-01-12,admin_1,es,es-pv,,0
2020-01-12,admin_1,th,th-10,,1
2020-01-12,admin_1,th,th-11,,0
2020-01-12,admin_1,th,th-12,,0
2020-01-12,admin_1,th,th-13,,0
2020-01-12,admin_1,th,th-14,,0
2020-01-12,admin_1,th,th-15,,0
2020-01-12,admin_1,th,th-16,,0
2020-01-12,admin_1,th,th-17,,0
2020-01-12,admin_1,th,th-18,,0
2020-01-12,admin_1,th,th-19,,0
2020-01-12,admin_1,th,th-20,,0
2020-01-12,admin_1,th,th-21,,0
2020-01-12,admin_1,th,th-22,,0
2020-01-12,admin_1,th,th-23,,0
2020-01-12,admin_1,th,th-24,,0
2020-01-12,admin_1,th,th-25,,0
2020-01-12,admin_1,th,th-26,,0
2020-01-12,admin_1,th,th-27,,0
2020-01-12,admin_1,th,th-30,,0
2020-01-12,admin_1,th,th-31,,0
2020-01-12,admin_1,th,th-32,,0
2020-01-12,admin_1,th,th-33,,0
2020-01-12,admin_1,th,th-34,,0
2020-01-12,admin_1,th,th-35,,0
2020-01-12,admin_1,th,th-36,,0
2020-01-12,admin_1,th,th-37,,0
2020-01-12,admin_1,th,th-38,,0
2020-01-12,admin_1,th,th-39,,0
2020-01-12,admin_1,th,th-40,,0
2020-01-12,admin_1,th,th-41,,0
2020-01-12,admin_1,th,th-42,,0
2020-01-12,admin_1,th,th-43,,0
2020-01-12,admin_1,th,th-44,,0
2020-01-12,admin_1,th,th-45,,0
2020-01-12,admin_1,th,th-46,,0
2020-01-12,admin_1,th,th-47,,0
2020-01-12,admin_1,th,th-48,,0
2020-01-12,admin_1,th,th-49,,0
2020-01-12,admin_1,th,th-50,,0
2020-01-12,admin_1,th,th-51,,0
2020-01-12,admin_1,th,th-52,,0
2020-01-12,admin_1,th,th-53,,0
2020-01-12,admin_1,th,th-54,,0
2020-01-12,admin_1,th,th-55,,0
2020-01-12,admin_1,th,th-56,,0
2020-01-12,admin_1,th,th-57,,0
2020-01-12,admin_1,th,th-58,,0
2020-01-12,admin_1,th,th-60,,0
2020-01-12,admin_1,th,th-61,,0
2020-01-12,admin_1,th,th-62,,0
2020-01-12,admin_1,th,th-63,,0
2020-01-12,admin_1,th,th-64,,0
2020-01-12,admin_1,th,th-65,,0
2020-01-12,admin_1,th,th-66,,0
2020-01-12,admin_1,th,th-67,,0
2020-01-12,admin_1,th,th-70,,0
2020-01-12,admin_1,th,th-71,,0
2020-01-12,admin_1,th,th-72,,0
2020-01-12,admin_1,th,th-73,,0
2020-01-12,admin_1,th,th-74,,0
2020-01-12,admin_1,th,th-75,,0
2020-01-12,admin_1,th,th-76,,0
2020-01-12,admin_1,th,th-77,,0
2020-01-12,admin_1,th,th-80,,0
2020-01-12,admin_1,th,th-81,,0
2020-01-12,admin_1,th,th-82,,0
2020-01-12,admin_1,th,th-83,,0
2020-01-12,admin_1,th,th-84,,0
2020-01-12,admin_1,th,th-85,,0
2020-01-12,admin_1,th,th-86,,0
2020-01-12,admin_1,th,th-90,,0
2020-01-12,admin_1,th,th-91,,0
2020-01-12,admin_1,th,th-92,,0
2020-01-12,admin_1,th,th-93,,0
2020-01-12,admin_1,th,th-94,,0
2020-01-12,admin_1,th,th-95,,0
2020-01-12,admin_1,th,th-96,,0
2020-01-13,admin_1,es,es-an,,0
2020-01-13,admin_1,es,es-ar,,0
2020-01-13,admin_1,es,es-as,,0
2020-01-13,admin_1,es,es-ce,,0
2020-01-13,admin_1,es,es-cl,,0
2020-01-13,admin_1,es,es-cm,,0
2020-01-13,admin_1,es,es-ex,,0
2020-01-13,admin_1,es,es-ga,,0
2020-01-13,admin_1,es,es-mc,,0
2020-01-13,admin_1,es,es-md,,0
2020-01-13,admin_1,es,es-ml,,0
2020-01-13,admin_1,es,es-nc,,0
2020-01-13,admin_1,es,es-pv,,0
2020-01-13,admin_1,th,th-10,,1
2020-01-13,admin_1,th,th-11,,0
2020-01-13,admin_1,th,th-12,,0
2020-01-13,admin_1,th,th-13,,0
2020-01-13,admin_1,th,th-14,,0
2020-01-13,admin_1,th,th-15,,0
2020-01-13,admin_1,th,th-16,,0
2020-01-13,admin_1,th,th-17,,0
2020-01-13,admin_1,th,th-18,,0
2020-01-13,admin_1,th,th-19,,0
2020-01-13,admin_1,th,th-20,,0
2020-01-13,admin_1,th,th-21,,0
2020-01-13,admin_1,th,th-22,,0
2020-01-13,admin_1,th,th-23,,0
2020-01-13,admin_1,th,th-24,,0
2020-01-13,admin_1,th,th-25,,0
2020-01-13,admin_1,th,th-26,,0
2020-01-13,admin_1,th,th-27,,0
2020-01-13,admin_1,th,th-30,,0
2020-01-13,admin_1,th,th-31,,0
2020-01-13,admin_1,th,th-32,,0
2020-01-13,admin_1,th,th-33,,0
2020-01-13,admin_1,th,th-34,,0
2020-01-13,admin_1,th,th-35,,0
2020-01-13,admin_1,th,th-36,,0
2020-01-13,admin_1,th,th-37,,0
2020-01-13,admin_1,th,th-38,,0
2020-01-13,admin_1,th,th-39,,0
2020-01-13,admin_1,th,th-40,,0
2020-01-13,admin_1,th,th-41,,0
2020-01-13,admin_1,th,th-42,,0
2020-01-13,admin_1,th,th-43,,0
2020-01-13,admin_1,th,th-44,,0
2020-01-13,admin_1,th,th-45,,0
2020-01-13,admin_1,th,th-46,,0
2020-01-13,admin_1,th,th-47,,0
2020-01-13,admin_1,th,th-48,,0
2020-01-13,admin_1,th,th-49,,0
2020-01-13,admin_1,th,th-50,,0
2020-01-13,admin_1,th,th-51,,0
2020-01-13,admin_1,th,th-52,,0
2020-01-13,admin_1,th,th-53,,0
2020-01-13,admin_1,th,th-54,,0
2020-01-13,admin_1,th,th-55,,0
2020-01-13,admin_1,th,th-56,,0
2020-01-13,admin_1,th,th-57,,0
2020-01-13,admin_1,th,th-58,,0
2020-01-13,admin_1,th,th-60,,0
2020-01-13,admin_1,th,th-61,,0
2020-01-13,admin_1,th,th-62,,0
2020-01-13,admin_1,th,th-63,,0
2020-01-13,admin_1,th,th-64,,0
2020-01-13,admin_1,th,th-65,,0
2020-01-13,admin_1,th,th-66,,0
2020-01-13,admin_1,th,th-67,,0
2020-01-13,admin_1,th,th-70,,0
2020-01-13,admin_1,th,th-71,,0
2020-01-13,admin_1,th,th-72,,0
2020-01-13,admin_1,th,th-73,,0
2020-01-13,admin_1,th,th-74,,0
2020-01-13,admin_1,th,th-75,,0
2020-01-13,admin_1,th,th-76,,0
2020-01-13,admin_1,th,th-77,,0
2020-01-13,admin_1,th,th-80,,0
2020-01-13,admin_1,th,th-81,,0
2020-01-13,admin_1,th,th-82,,0
2020-01-13,admin_1,th,th-83,,0
2020-01-13,admin_1,th,th-84,,0
2020-01-13,admin_1,th,th-85,,0
2020-01-13,admin_1,th,th-86,,0
2020-01-13,admin_1,th,th-90,,0
2020-01-13,admin_1,th,th-91,,0
2020-01-13,admin_1,th,th-92,,0
2020-01-13,admin_1,th,th-93,,0
2020-01-13,admin_1,th,th-94,,0
2020-01-13,admin_1,th,th-95,,0
2020-01-13,admin_1,th,th-96,,0
2020-01-14,admin_1,es,es-an,,0
2020-01-14,admin_1,es,es-ar,,0
2020-01-14,admin_1,es,es-as,,0
2020-01-14,admin_1,es,es-ce,,0
2020-01-14,admin_1,es,es-cl,,0
2020-01-14,admin_1,es,es-cm,,0
2020-01-14,admin_1,es,es-ex,,0
2020-01-14,admin_1,es,es-ga,,0
2020-01-14,admin_1,es,es-mc,,0
2020-01-14,admin_1,es,es-md,,0
2020-01-14,admin_1,es,es-ml,,0
2020-01-14,admin_1,es,es-nc,,0
2020-01-14,admin_1,es,es-pv,,0
2020-01-14,admin_1,th,th-10,,1
2020-01-14,admin_1,th,th-11,,0
2020-01-14,admin_1,th,th-12,,0
2020-01-14,admin_1,th,th-13,,0
2020-01-14,admin_1,th,th-14,,0
2020-01-14,admin_1,th,th-15,,0
2020-01-14,admin_1,th,th-16,,0
2020-01-14,admin_1,th,th-17,,0
2020-01-14,admin_1,th,th-18,,0
2020-01-14,admin_1,th,th-19,,0
2020-01-14,admin_1,th,th-20,,0
2020-01-14,admin_1,th,th-21,,0
2020-01-14,admin_1,th,th-22,,0
2020-01-14,admin_1,th,th-23,,0
2020-01-14,admin_1,th,th-24,,0
2020-01-14,admin_1,th,th-25,,0
2020-01-14,admin_1,th,th-26,,0
2020-01-14,admin_1,th,th-27,,0
2020-01-14,admin_1,th,th-30,,0
2020-01-14,admin_1,th,th-31,,0
2020-01-14,admin_1,th,th-32,,0
2020-01-14,admin_1,th,th-33,,0
2020-01-14,admin_1,th,th-34,,0
2020-01-14,admin_1,th,th-35,,0
2020-01-14,admin_1,th,th-36,,0
2020-01-14,admin_1,th,th-37,,0
2020-01-14,admin_1,th,th-38,,0
2020-01-14,admin_1,th,th-39,,0
2020-01-14,admin_1,th,th-40,,0
2020-01-14,admin_1,th,th-41,,0
2020-01-14,admin_1,th,th-42,,0
2020-01-14,admin_1,th,th-43,,0
2020-01-14,admin_1,th,th-44,,0
2020-01-14,admin_1,th,th-45,,0
2020-01-14,admin_1,th,th-46,,0
2020-01-14,admin_1,th,th-47,,0
2020-01-14,admin_1,th,th-48,,0
2020-01-14,admin_1,th,th-49,,0
2020-01-14,admin_1,th,th-50,,0
2020-01-14,admin_1,th,th-51,,0
2020-01-14,admin_1,th,th-52,,0
2020-01-14,admin_1,th,th-53,,0
2020-01-14,admin_1,th,th-54,,0
2020-01-14,admin_1,th,th-55,,0
2020-01-14,admin_1,th,th-56,,0
2020-01-14,admin_1,th,th-57,,0
2020-01-14,admin_1,th,th-58,,0
2020-01-14,admin_1,th,th-60,,0
