region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-14,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-21,2020-07-22,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-08-06,2020-08-09,2020-08-10,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-24,2020-08-26,2020-08-27,2020-08-31,2020-09-02,2020-09-03,2020-09-06,2020-09-07,2020-09-09,2020-09-11,2020-09-13,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-28,2020-09-29,2020-10-04,2020-10-06,2020-10-07,2020-10-08,2020-10-15,2020-10-18,2020-10-19,2020-10-20,2020-10-22,2020-10-23,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-11-02,2020-11-04,2020-11-05,2020-11-09,2020-11-10,2020-11-12,2020-11-15,2020-11-19,2020-11-22,2020-11-23,2020-11-24,2020-11-29,2020-11-30,2020-12-03,2020-12-07,2020-12-08,2020-12-10,2020-12-11
admin_1,om,om-bj,,825,859,906,969,990,1036,1167,1246,1294,1373,1508,1664,1733,1814,1845,2025,2078,2189,2357,2510,2681,2795,2936,3101,3157,3357,3547,3752,3927,4306,4584,4775,4956,5117,5427,5701,5800,6028,6549,6974,7154,7399,7761,7984,8160,8489,8679,8876,8971,9080,9169,9313,9367,9384,9433,9458,9485,9526,9533,9545,9563,9591,9600,9677,9689,9703,9795,9812,9861,9927,9954,10001,10051,10170,10216,10246,10286,10342,10514,10610,10682,10761,10993,11050,11262,11382,11451,11512,11915,12077,12130,12173,12223,12263,12378,12417,12444,12504,12597,12651,12696,12768,12811,12838,12891,12946,12995,13007,13022,13077,13093,13129,13168,13189,13203,13210
admin_1,om,om-bs,,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,om,om-bu,,148,150,157,165,171,175,185,197,213,216,242,252,266,271,275,297,297,325,351,358,380,394,396,431,437,466,478,489,491,509,530,547,559,567,586,597,613,631,648,689,691,702,737,754,809,822,840,841,855,864,876,898,909,911,922,926,926,929,933,937,938,941,944,949,951,954,955,962,966,968,970,975,982,1038,1044,1052,1064,1072,1105,1126,1131,1142,1171,1176,1216,1231,1252,1258,1323,1350,1359,1362,1376,1385,1421,1428,1435,1440,1481,1496,1502,1550,1570,1578,1601,1612,1643,1649,1655,1680,1684,1704,1718,1721,1721,1728
admin_1,om,om-da,,537,548,576,597,605,637,692,711,739,790,862,911,944,975,1010,1076,1120,1184,1253,1367,1435,1506,1579,1687,1724,1809,1879,1986,2071,2252,2347,2416,2510,2624,2796,2885,2977,3239,3355,3548,3648,3761,3991,4161,4223,4397,4493,4594,4673,4703,4779,4972,5096,5129,5170,5217,5244,5260,5272,5301,5329,5340,5351,5416,5427,5442,5524,5538,5589,5653,5671,5704,5764,5880,5900,5942,5986,6029,6170,6254,6309,6353,6529,6574,6763,6823,6961,7011,7323,7428,7472,7522,7557,7591,7669,7710,7749,7795,7941,8006,8034,8121,8177,8251,8371,8451,8554,8574,8587,8666,8685,8745,8804,8820,8830,8850
admin_1,om,om-ma,,9735,10263,10884,11438,12195,12818,13664,14138,14937,15666,17405,17920,18365,18860,19408,20550,21158,22160,22796,23422,24173,24871,25343,25905,26335,26622,27220,27847,28478,29366,29818,30166,30697,31168,32060,32464,32811,33639,34586,35119,36178,36628,37023,38073,38444,39081,39348,39456,39803,40023,40270,40739,41115,41189,41259,41436,41491,41567,41598,41639,41704,41772,41865,42102,42191,42259,42532,42598,42755,43040,43135,43356,43507,43981,44315,44501,44711,44904,45540,46105,46332,46552,47176,47691,48990,49610,49912,50247,52349,53167,53491,53711,53918,54085,54627,54818,55063,55374,56045,56441,56780,57268,57428,57951,58394,58756,59239,59385,59509,59965,60077,60391,60705,60957,61055,61150
admin_1,om,om-mu,,8,8,9,9,9,9,9,9,9,9,10,11,11,11,11,13,13,13,13,13,14,14,15,16,16,17,18,18,20,23,26,26,29,31,33,34,36,37,40,40,40,41,42,47,47,53,54,57,57,57,57,60,61,61,62,62,62,62,62,63,64,69,71,72,72,72,75,78,78,78,79,79,80,81,81,83,83,84,86,88,88,90,90,99,109,114,121,130,149,156,162,164,169,173,180,185,188,189,194,198,204,211,213,214,223,227,235,237,239,243,249,255,255,256,258,261
admin_1,om,om-sj,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,om,om-ss,,146,171,174,200,209,231,239,249,259,304,324,350,376,389,400,449,469,487,517,559,585,603,640,663,674,713,738,776,804,843,929,962,991,1021,1110,1144,1209,1272,1407,1502,1523,1550,1664,1761,1869,1945,1981,2042,2073,2099,2129,2150,2176,2183,2191,2206,2210,2219,2227,2236,2243,2258,2258,2281,2284,2294,2313,2333,2347,2362,2368,2380,2405,2462,2463,2472,2488,2506,2541,2558,2572,2584,2625,2644,2692,2712,2738,2742,2849,2877,2886,2897,2914,2922,2945,2963,2972,2990,3030,3055,3072,3097,3123,3132,3174,3216,3231,3236,3237,3257,3267,3286,3308,3316,3322,3324
admin_1,om,om-wu,,42,110,110,132,205,282,392,400,500,759,759,908,919,937,958,969,969,1092,1106,1131,1150,1158,1179,1193,1193,1197,1209,1230,1263,1267,1371,1373,1373,1392,1417,1421,1451,1460,1460,1517,1521,1523,1527,1554,1554,1571,1576,1581,1591,1591,1592,1592,1597,1600,1607,1607,1607,1607,1608,1610,1610,1610,1610,1630,1630,1631,1664,1668,1679,1701,1704,1714,1718,1739,1743,1748,1751,1764,1792,1797,1800,1811,1865,1871,1906,1908,1914,1916,1957,1977,1982,1988,1989,1993,2013,2021,2026,2031,2043,2060,2063,2075,2093,2098,2134,2163,2173,2183,2185,2210,2210,2225,2235,2242,2244,2246
admin_1,om,om-za,,148,149,149,151,152,159,164,170,176,182,199,209,210,224,230,243,253,298,309,345,353,385,392,414,458,473,495,509,530,575,633,722,738,795,815,827,878,1019,1077,1160,1215,1243,1363,1393,1468,1562,1586,1636,1681,1733,1744,1775,1798,1807,1818,1819,1819,1821,1823,1825,1826,1831,1831,1841,1842,1854,1865,1875,1889,1911,1918,1927,1945,1995,2002,2010,2031,2046,2138,2176,2204,2233,2325,2342,2438,2448,2578,2593,2818,2874,2906,2922,2934,2951,2983,2994,3002,3011,3073,3112,3124,3176,3184,3219,3264,3294,3328,3336,3345,3395,3403,3429,3449,3455,3458,3466
