region_schema,region_parent,region_child,agerange,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-09,2020-06-10,2020-06-11,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-08-10,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-27
admin_1,om,om-bj,,34,47,63,21,131,79,48,66,156,69,81,31,53,111,168,153,171,114,141,165,56,200,190,205,175,278,191,181,161,310,274,99,425,180,245,223,107,190,197,95,109,89,17,25,27,41,7,12,18,28,9,14
admin_1,om,om-bs,,54,47,49,39,47,64,46,41,79,99,79,66,144,164,285,65,201,96,77,230,187,280,132,233,236,318,371,223,374,180,170,555,221,776,219,367,549,489,404,195,145,78,44,146,79,22,59,27,39,30,41,39
admin_1,om,om-bu,,2,7,8,6,6,12,16,26,10,14,5,4,0,28,26,7,22,14,2,35,6,29,12,11,2,14,17,12,8,19,11,16,20,23,11,31,27,18,1,14,9,12,2,1,0,3,4,4,1,3,3,1
admin_1,om,om-da,,11,28,21,8,55,19,28,45,49,33,31,35,44,64,69,114,68,71,73,108,37,85,70,107,85,197,69,94,114,172,89,92,193,100,113,289,45,96,101,79,30,76,33,22,27,16,12,29,28,11,11,15
admin_1,om,om-ma,,528,621,554,757,421,474,799,1093,515,445,495,548,608,1002,636,626,751,698,472,562,430,287,598,627,631,972,348,531,471,892,404,347,533,1059,450,635,319,267,108,347,220,247,74,177,55,76,31,41,65,68,93,68
admin_1,om,om-mu,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,6,0,3,2,2,1,2,0,0,1,1,5,1,3,0,0,0,0,0,0,0,0,1,1,5,2,0
admin_1,om,om-sj,,13,22,16,15,25,12,11,35,40,10,33,3,25,17,41,34,19,25,29,27,34,20,42,21,31,71,35,55,36,99,30,45,116,80,44,76,125,20,63,29,54,18,6,26,8,6,18,7,15,12,3,7
admin_1,om,om-ss,,25,3,26,9,8,10,10,20,26,26,13,11,20,18,30,42,26,18,37,23,11,39,25,38,28,47,33,29,30,89,34,65,95,21,27,97,76,36,61,31,26,30,7,6,4,9,8,9,7,15,0,5
admin_1,om,om-wu,,68,0,22,73,110,8,100,125,149,11,18,21,0,123,14,25,19,8,21,14,0,4,12,21,33,104,2,0,19,25,4,30,57,4,2,27,15,5,5,10,0,1,3,0,0,0,1,2,0,0,0,1
admin_1,om,om-za,,1,0,2,1,5,6,6,17,10,1,14,6,10,45,11,36,8,32,7,22,44,15,22,14,21,35,89,16,57,20,12,51,83,55,28,30,53,24,50,45,52,11,9,4,0,2,2,2,1,5,0,3
admin_1,om,om-zu,,3,2,9,1,10,5,3,82,8,37,41,14,1,33,38,40,80,56,59,10,105,50,20,84,130,165,107,66,246,81,54,16,173,43,17,154,28,1,60,1,20,28,12,13,12,6,20,6,17,11,1,13
