region_schema,region_parent,region_child,agerange,2020-07-19,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03
admin_1,za,unknown,,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0
admin_1,za,za-ec,,2205,1059,1627,1893,1434,813,646,836,805,844,628,264,170,556,614,601,459,327,177,137,64,223,370,299,335,86,52,218,224,201,252,71,161,153,76,198,161,103,54,105,167
admin_1,za,za-fs,,989,980,1111,1099,970,970,740,912,1073,1046,791,606,628,899,891,754,865,628,539,300,369,471,788,628,405,434,289,570,502,471,485,236,377,439,323,415,400,331,237,348,396
admin_1,za,za-gt,,5013,7703,4272,4166,3801,3333,2165,2265,3785,2847,2413,1414,1144,2192,2349,1528,1840,1768,794,532,592,1135,1711,1140,964,602,712,1062,944,877,1414,367,718,546,423,544,525,521,349,639,521
admin_1,za,za-lp,,438,556,356,326,338,344,184,242,338,639,165,160,185,236,248,265,207,201,165,96,68,144,195,231,128,184,56,131,142,195,108,60,92,72,93,79,128,98,36,99,88
admin_1,za,za-mp,,485,862,701,769,661,591,378,166,890,1401,439,275,321,1419,668,463,468,505,216,78,222,356,443,361,374,185,243,350,392,242,201,173,219,122,88,181,186,273,65,135,141
admin_1,za,za-nc,,69,188,243,205,214,211,275,122,138,220,170,171,77,259,294,253,181,255,181,59,96,165,321,292,105,181,108,212,234,243,178,53,125,329,214,241,284,158,111,183,293
admin_1,za,za-nl,,3129,4907,2885,3756,3370,3529,1921,2119,3139,5688,2693,2061,1625,1812,2317,2729,2804,2420,1318,1108,1005,734,1511,875,764,654,528,706,809,708,544,419,575,489,278,428,435,280,231,424,373
admin_1,za,za-nw,,606,736,828,647,394,396,266,187,440,389,247,188,121,416,358,271,327,195,96,98,174,278,333,277,157,55,140,196,227,135,182,74,201,159,117,164,154,108,42,214,212
admin_1,za,za-wc,,515,2075,1081,1083,1022,1046,521,383,754,966,649,238,185,770,568,428,561,371,254,103,220,440,603,410,460,160,130,471,406,326,343,114,216,276,234,169,232,113,93,239,229
