date,region_schema,region_parent,region_child,agerange,value
2020-03-02,admin_1,de,de-bb,,2
2020-03-02,admin_1,de,de-be,,0
2020-03-02,admin_1,de,de-bw,,30
2020-03-02,admin_1,de,de-by,,34
2020-03-02,admin_1,de,de-hb,,2
2020-03-02,admin_1,de,de-he,,9
2020-03-02,admin_1,de,de-hh,,2
2020-03-02,admin_1,de,de-mv,,0
2020-03-02,admin_1,de,de-ni,,4
2020-03-02,admin_1,de,de-nw,,116
2020-03-02,admin_1,de,de-rp,,2
2020-03-02,admin_1,de,de-sh,,4
2020-03-02,admin_1,de,de-sl,,3
2020-03-02,admin_1,de,de-sn,,1
2020-03-02,admin_1,de,de-st,,0
2020-03-02,admin_1,de,de-th,,0
2020-03-03,admin_1,de,de-bb,,2
2020-03-03,admin_1,de,de-be,,6
2020-03-03,admin_1,de,de-bw,,54
2020-03-03,admin_1,de,de-by,,40
2020-03-03,admin_1,de,de-hb,,4
2020-03-03,admin_1,de,de-he,,13
2020-03-03,admin_1,de,de-hh,,5
2020-03-03,admin_1,de,de-mv,,2
2020-03-03,admin_1,de,de-ni,,10
2020-03-03,admin_1,de,de-nw,,145
2020-03-03,admin_1,de,de-rp,,3
2020-03-03,admin_1,de,de-sh,,5
2020-03-03,admin_1,de,de-sl,,3
2020-03-03,admin_1,de,de-sn,,1
2020-03-03,admin_1,de,de-st,,0
2020-03-03,admin_1,de,de-th,,1
2020-03-04,admin_1,de,de-bb,,2
2020-03-04,admin_1,de,de-be,,9
2020-03-04,admin_1,de,de-bw,,92
2020-03-04,admin_1,de,de-by,,50
2020-03-04,admin_1,de,de-hb,,4
2020-03-04,admin_1,de,de-he,,15
2020-03-04,admin_1,de,de-hh,,6
2020-03-04,admin_1,de,de-mv,,4
2020-03-04,admin_1,de,de-ni,,14
2020-03-04,admin_1,de,de-nw,,235
2020-03-04,admin_1,de,de-rp,,7
2020-03-04,admin_1,de,de-sh,,5
2020-03-04,admin_1,de,de-sl,,3
2020-03-04,admin_1,de,de-sn,,1
2020-03-04,admin_1,de,de-st,,0
2020-03-04,admin_1,de,de-th,,1
2020-03-05,admin_1,de,de-bb,,4
2020-03-05,admin_1,de,de-be,,19
2020-03-05,admin_1,de,de-bw,,128
2020-03-05,admin_1,de,de-by,,69
2020-03-05,admin_1,de,de-hb,,4
2020-03-05,admin_1,de,de-he,,21
2020-03-05,admin_1,de,de-hh,,11
2020-03-05,admin_1,de,de-mv,,5
2020-03-05,admin_1,de,de-ni,,20
2020-03-05,admin_1,de,de-nw,,332
2020-03-05,admin_1,de,de-rp,,8
2020-03-05,admin_1,de,de-sh,,6
2020-03-05,admin_1,de,de-sl,,3
2020-03-05,admin_1,de,de-sn,,1
2020-03-05,admin_1,de,de-st,,0
2020-03-05,admin_1,de,de-th,,1
2020-03-06,admin_1,de,de-bb,,4
2020-03-06,admin_1,de,de-be,,24
2020-03-06,admin_1,de,de-bw,,179
2020-03-06,admin_1,de,de-by,,120
2020-03-06,admin_1,de,de-hb,,4
2020-03-06,admin_1,de,de-he,,22
2020-03-06,admin_1,de,de-hh,,14
2020-03-06,admin_1,de,de-mv,,5
2020-03-06,admin_1,de,de-ni,,27
2020-03-06,admin_1,de,de-nw,,394
2020-03-06,admin_1,de,de-rp,,10
2020-03-06,admin_1,de,de-sh,,8
2020-03-06,admin_1,de,de-sl,,3
2020-03-06,admin_1,de,de-sn,,3
2020-03-06,admin_1,de,de-st,,0
2020-03-06,admin_1,de,de-th,,1
2020-03-07,admin_1,de,de-bb,,4
2020-03-07,admin_1,de,de-be,,25
2020-03-07,admin_1,de,de-bw,,211
2020-03-07,admin_1,de,de-by,,140
2020-03-07,admin_1,de,de-hb,,4
2020-03-07,admin_1,de,de-he,,26
2020-03-07,admin_1,de,de-hh,,18
2020-03-07,admin_1,de,de-mv,,5
2020-03-07,admin_1,de,de-ni,,35
2020-03-07,admin_1,de,de-nw,,461
2020-03-07,admin_1,de,de-rp,,12
2020-03-07,admin_1,de,de-sh,,8
2020-03-07,admin_1,de,de-sl,,3
2020-03-07,admin_1,de,de-sn,,5
2020-03-07,admin_1,de,de-st,,0
2020-03-07,admin_1,de,de-th,,2
2020-03-08,admin_1,de,de-bb,,8
2020-03-08,admin_1,de,de-be,,37
2020-03-08,admin_1,de,de-bw,,230
2020-03-08,admin_1,de,de-by,,160
2020-03-08,admin_1,de,de-hb,,4
2020-03-08,admin_1,de,de-he,,26
2020-03-08,admin_1,de,de-hh,,23
2020-03-08,admin_1,de,de-mv,,7
2020-03-08,admin_1,de,de-ni,,39
2020-03-08,admin_1,de,de-nw,,487
2020-03-08,admin_1,de,de-rp,,15
2020-03-08,admin_1,de,de-sh,,9
2020-03-08,admin_1,de,de-sl,,4
2020-03-08,admin_1,de,de-sn,,10
2020-03-08,admin_1,de,de-st,,0
2020-03-08,admin_1,de,de-th,,2
