region_schema,region_parent,region_child,agerange,2020-12-21,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-07,2021-01-08,2021-05-11,2021-05-24,2021-05-25,2021-05-27,2021-05-28
admin_1,au,au-vic,,1,3,5,12,15,10,10,4,4,4,1,1,2,1,2
lga,au-vic,bayside,,,,1,6,,,,,,,,,,,
lga,au-vic,boroondara,,,,,2,,,1,,,,,,,,
lga,au-vic,casey,,,1,,,,,,,,,,,,,
lga,au-vic,darebin,,,,,,,,,,,,,,1,,
lga,au-vic,glen eira,,,,,1,2,,,,,,,,,,
lga,au-vic,hepburn,,,,,1,,,,,,,,,,,
lga,au-vic,hume,,,,,,,,,,,,,,,1,
lga,au-vic,kingston,,,1,,,2,3,3,,,,,,,,
lga,au-vic,maroondah,,,,,,,,1,,,,,,,,
lga,au-vic,moonee valley,,1,,,,,,,,,,,,,,
lga,au-vic,south gippsland,,,,1,,,,,,,,,,,,
lga,au-vic,unknown,,,,,,1,,,,,,,,,,
lga,au-vic,whitehorse,,,1,1,,,,,1,,,,,,,
lga,au-vic,whittlesea,,,,,,,,,,,,1,1,,,1
