month,seek
2020-03,62
2020-04,20266
2020-05,131116
2020-06,246622
2020-07,358402
2020-08,475188
2020-09,592929
2020-10,707802
2020-11,826570
2020-12,941619
2021-01,1061507
2021-02,1181395
2021-03,1289675
2021-04,1409720
2021-05,1525734
2021-06,1645611
2021-07,1761621
2021-08,1881499
2021-09,2001792
2021-10,2116656
2021-11,2235417
2021-12,2236443
2022-01,2367478
2022-02,2517309
2022-03,2561012
2022-04,2562081
2022-05,2563122
2022-06,2564176
2022-07,2565199
2022-08,2566272
2022-09,2567342
2022-10,2568366
