month,seek
2020-03,62
2020-04,76582
2020-05,500070
2020-06,946311
2020-07,1378329
2020-08,1830402
2020-09,2285828
2020-10,2730925
2020-11,3194527
2020-12,3644194
2021-01,4114673
2021-02,4587963
2021-03,5015803
2021-04,5490529
2021-05,5948552
2021-06,6421830
2021-07,6879842
2021-08,7353594
2021-09,7828638
2021-10,8273724
2021-11,8737317
2021-12,8760669
2022-01,9540975
2022-02,11390052
2022-03,12000238
2022-04,12024771
2022-05,12048464
2022-06,12072923
2022-07,12096593
2022-08,12121053
2022-09,12145515
2022-10,12169185
